respondent_id,rok_ankiety,stan,plec,grupa_wiekowa,plec_wiek,edukacja,stan_cywilny,syt_mieszkaniowa,dochod_roczny,status_zatrudnienia,liczba_dzieci,trudnosc_z_rachunkami,sklonnosc_do_ryzyka,ma_fund_awaryjny,liczyl_oszcz_emerytalne,pytal_o_porade_inwest,ma_konto_oszczednosciowe,inwestuje_poza_emerytura
2009010001,2009,Tennessee,Female,25-34,Female 25-34,Post graduate education,Married,Live with spouse/partner,$100k - $150k,Student,2,Not at all difficult,7.0,False,False,True,True,True
2009010002,2009,Texas,Male,55-64,Male 55-64,Some college,Divorced,Live with spouse/partner,$25k - $35k,Retired,0,Somewhat difficult,9.0,False,,False,True,True
2009010003,2009,Texas,Male,55-64,Male 55-64,Some college,Married,Live with spouse/partner,$50k - $75k,Unemployed,0,Not at all difficult,6.0,False,True,False,True,True
2009010004,2009,New York,Female,35-44,Female 35-44,Some college,Single,Live with spouse/partner,$35k - $50k,Full-time,1,Not at all difficult,6.0,False,False,False,True,False
2009010005,2009,California,Male,65+,Male 65+,Some college,Divorced,Only adult in household,$25k - $35k,Part-time,0,Not at all difficult,1.0,False,False,False,True,False
2009010006,2009,California,Female,35-44,Female 35-44,College graduate,Single,Only adult in household,$100k - $150k,Full-time,0,Somewhat difficult,3.0,False,True,True,True,False
2009010007,2009,Indiana,Female,45-54,Female 45-54,High school graduate,Married,Live with spouse/partner,$35k - $50k,Full-time,2,Very difficult,8.0,False,False,False,False,True
2009010008,2009,Pennsylvania,Male,45-54,Male 45-54,Some college,Single,Only adult in household,$15k - $25k,Unemployed,0,Somewhat difficult,6.0,False,True,False,True,True
2009010009,2009,New York,Female,35-44,Female 35-44,Some college,Divorced,Live with spouse/partner,$50k - $75k,Full-time,3+,Somewhat difficult,5.0,False,True,True,True,False
2009010010,2009,New York,Male,35-44,Male 35-44,College graduate,Married,Live with spouse/partner,$150k or more,Full-time,3+,Not at all difficult,5.0,True,True,True,True,True
2009010011,2009,Indiana,Male,35-44,Male 35-44,Post graduate education,Married,Live with spouse/partner,$150k or more,Full-time,3+,Not at all difficult,4.0,False,True,True,True,False
2009010012,2009,Virginia,Male,45-54,Male 45-54,Some college,Married,Live with spouse/partner,$100k - $150k,Retired,0,Not at all difficult,7.0,False,,True,True,False
2009010013,2009,Illinois,Female,35-44,Female 35-44,Some college,Single,Only adult in household,$75k - $100k,Retired,0,Somewhat difficult,6.0,False,,True,True,True
2009010014,2009,Maryland,Male,55-64,Male 55-64,Some college,Married,Live with spouse/partner,$50k - $75k,Full-time,0,Not at all difficult,1.0,True,False,True,True,True
2009010015,2009,Michigan,Male,35-44,Male 35-44,High school graduate,Married,Live with spouse/partner,$35k - $50k,Full-time,1,Very difficult,4.0,False,False,False,True,False
2009010016,2009,Arizona,Female,45-54,Female 45-54,College graduate,Divorced,Only adult in household,$35k - $50k,Full-time,0,Very difficult,1.0,False,False,False,True,False
2009010017,2009,California,Female,55-64,Female 55-64,Some college,Widowed/widower,Live with other family/friends,$35k - $50k,Full-time,0,Somewhat difficult,1.0,False,True,False,False,False
2009010018,2009,Connecticut,Female,45-54,Female 45-54,Did not complete high school,Married,Live with spouse/partner,$15k - $25k,Retired,1,Somewhat difficult,,False,,False,,False
2009010019,2009,California,Male,35-44,Male 35-44,Post graduate education,Single,Only adult in household,$75k - $100k,Full-time,0,Somewhat difficult,3.0,False,False,False,True,True
2009010020,2009,Idaho,Female,25-34,Female 25-34,Some college,Divorced,Only adult in household,$15k - $25k,Homemaker,3+,Very difficult,1.0,False,False,False,False,False
2009010021,2009,Wisconsin,Female,55-64,Female 55-64,Some college,Married,Live with spouse/partner,$50k - $75k,Full-time,0,Somewhat difficult,3.0,True,,False,True,False
2009010022,2009,California,Female,25-34,Female 25-34,College graduate,Married,Live with spouse/partner,$25k - $35k,Full-time,1,Somewhat difficult,5.0,False,True,False,False,False
2009010023,2009,Wisconsin,Male,35-44,Male 35-44,High school graduate,Single,Only adult in household,$35k - $50k,Full-time,0,Not at all difficult,4.0,False,False,False,False,False
2009010024,2009,Ohio,Female,45-54,Female 45-54,College graduate,Married,Live with spouse/partner,$25k - $35k,Unemployed,0,Somewhat difficult,7.0,False,True,False,False,True
2009010025,2009,Missouri,Male,45-54,Male 45-54,High school graduate,Single,Only adult in household,$25k - $35k,Full-time,0,Somewhat difficult,5.0,False,False,False,True,True
2009010026,2009,Illinois,Female,25-34,Female 25-34,College graduate,Single,Only adult in household,$35k - $50k,Full-time,0,Somewhat difficult,8.0,,True,False,True,False
2009010027,2009,Ohio,Female,55-64,Female 55-64,Some college,Single,Only adult in household,$25k - $35k,Full-time,0,Somewhat difficult,10.0,False,,False,True,True
2009010028,2009,New Jersey,Male,18-24,Male 18-24,High school graduate,Single,Live in parents' home,$15k - $25k,Part-time,0,Somewhat difficult,9.0,False,False,True,True,True
2009010029,2009,Ohio,Female,55-64,Female 55-64,High school graduate,Married,Live with spouse/partner,$50k - $75k,Retired,0,Not at all difficult,3.0,False,,False,False,False
2009010030,2009,Missouri,Female,45-54,Female 45-54,High school graduate,Married,Live with spouse/partner,$50k - $75k,Homemaker,0,Very difficult,10.0,False,False,False,False,False
