NFCSID,STATEQ,CENSUSDIV,CENSUSREG,A50A,A3Ar_w,A50B,A4A_new_w,A5_2015,A6,A7,A7A,A11,A8_2021,AM21,X3,A9,A40,A10,A10A,A21_2015,A14,A41,A61,J1,J2,J3,J4,J40,J5,J6,J8,J9,J10,J20,J60_1,J60_2,J60_3,J60_4,J60_5,J60_6,J60_7,J60_90,J60_98,J60_99,J61,J62,J32,J33_40,J63,J64,J41_1,J41_2,J41_3,J42_1,J42_2,J43,J65,J66,B1,B2,B4,B41_1,B41_2,B60,B31,B42,B43,B61,C1_2012,C2_2012,C3_2012,C4_2012,C5_2012,C10_2012,C11_2012,B14A_1,B14A_60,EA_1,E7,E8,E20,E15_2015,E60,P60,P51,P61,F1,F2_1,F2_2,F2_3,F2_4,F2_5,F2_6,G1,G20,G30_1,G30_2,G30_3,G30_4,G30_5,G30_97,G30_98,G30_99,G35,G22_2015,G25_1,G25_2,G25_3,G25_4,G25_5,G60,G38,G23,H1,H30_3,M1_1,M4,M20,M21_1,M21_2_2015,M21_3,M21_4,M6,M7,M8,M31,M50,M9,M10,wgt_n2,wgt_d2,wgt_s3
2024010021,39,2,1,1,4,4,1,6,1,2,1,1,9,3,1,2,2,2,1, ,1,5,2,7,6,1,3,1,1,1,1, ,2,1,1,0,0,0,0,0,0,0,0,0,2,2,5,7,2,98,1,1,4,4,3,4,2, ,2,1, ,2,3,7,3,3,3,2,1,1,1,2,1,2,2,1,2,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,0,0,0,0,0,1,0,0, , ,1,1,1,1,1,2,2,2,1,2,5,4,3, , , , ,1,3,98,3,1,1,2,1.5709738939,.7667711153,.8437979028
2024010022,33,2,1,1,6,6,2,7,2,1,3,6,4,3,1,8,2, ,2, , ,6,2,3,4,1,3,1,1, , ,1,2,4, , , , , , , , , , ,1,2,4,4,5, ,5,5,5,3,4,2,2, ,1,1,1,3,3,7,1,1,1,98,1, ,2,2, , , ,2,2,2, , , , ,1,1,2,3,4,2,1,1,2,2,1,2,1,0,0,0,0,0,1,0,0, , ,1,1,1,1,1,2,2,7,1,2,7,4,2,1,1,1, ,1,3,2,4,1,1,2,1.6633367255,1.4606659496,1.0298894765
2024010023,34,5,3,1,4,4,1,7,4,1,3,2,7,3,1,2,2, ,1, , ,6,2,7,8,1,3,2,1,1,1, ,2,1,1,1,0,1,0,0,0,0,0,0,1,2,5,5,2,1,2,2,4,4,3,4,2, ,1,1,2,3,3,4,3,1,3,2,1, ,1,1,2,2,2,2,2,1,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , ,1,1,1,1,1,2,2,2,1,2,7,7,2,2,1,2, ,1,3,2,3,1,1,2,.9011601831,1.2476483334,1.0141874463
2024010024,41,5,3,1,4,4,1,7,2,1,3,6,8,3,1,2,2, ,1, , ,3,2,7,9,1,3,1,1, ,1, ,2,1,1,0,0,0,0,0,0,0,0,0,2,2,5,3,1, ,2,1,3,4,2,4,2, ,1,1,2,2,3,2,3,2,3,1,1, ,1,1,1,2,2,1,2,1,1,2,2,1,2,1,2,2,4,1,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , ,1,1,1,1,1,2,2,2,1,2,7,6,3, , , , ,1,3,2,2,1,1,2,.9011601831,.6246937808,.8049784437
2024010025,10,5,3,1,4,4,1,6,1,2,1,6,5,3,1,2,2,2,1, ,98,5,2,5,1,1,3,1,1, ,2, ,2,3,0,1,0,0,0,0,0,0,0,0,2,2,5,7,3,1,4,3,4,2,3,2,2, ,1,1,2,3,2,5,3,3,3,2,2, , ,2, , , ,2,2,1,2,2, , ,2,2,2,3,1,1,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , ,1,1,1,1,1,2,2,1,1,2,6,6,3, , , , ,98,98,4,98,98,1,98,.9011601831,2.6011639829,.9370557217
2024010026,23,3,2,1,4,4,1,4,1,2,1,6,4,3,1,3,2,2,1,2,3,3,2,7,1,1,3,3,1, ,2, ,2,1,1,0,0,0,0,0,0,0,0,0,2,2,5,5,1, ,3,3,4,5,3,2,2, ,1,1,2,2,3,6,2,3,3,1,1,2,2,2, , , ,2,2,2, , , , ,1,2,2,2,1,1,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , ,1,1,1,1,1,2,2,1,1,2,7,5,3, , , , ,1,3,98,2,3,1,98,1.3493203134,1.0389773996,1.0171336053
2024010027,5,9,4,1,6,6,1,6,1,2,1,6,4,3,1,8,2,8,2, ,1,6,2,4,6,3,2,1,2, , ,2,2,1,0,0,0,1,0,0,0,1,0,0,98,2,5,6,2, ,3,3,4,2,2,2,2, ,1,1,2,3,1,6,3,3,3,98,2, , ,1,2,2,2,1,2,1,2,1,2, ,2,98,2,1,3,1,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , ,1,1,1,1,1,2,2,2,1,2,7,6,2,98,1,2, ,1,3,2,2,98,1,2,1.1730678831,3.1063791582,.8880631459
2024010028,33,2,1,2,4,10,1,4,1,2,1,2,6,3,1,2,2,2,1,2,3,3,2,6,1,1,3,1,1,1,2, ,2,1,1,0,0,0,0,0,0,0,0,0,1,2,5,2,2,1,2,3,5,3,3,3,2, ,1,1,2,3,2,7,3,3,3,2,1,3,2,2, , , ,2,2,1,1,2,2,1,2,2,2,3,2,2,1,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , ,1,1,1,1,1,2,2,1,1,2,7,5,3, , , , ,98,3,98,2,98,1,98,1.9093484632,1.4209128068,1.0277058778
2024010029,5,9,4,2,4,10,2,6,2,1,3,6,6,3,1,2,1, ,1, , ,6,2,5,8,1,3,2,1, ,2, ,2,1,1,0,0,0,0,0,0,0,0,0,2,2,5,7,2,98,4,3,4,3,3,98,2, ,1,1,2,3,3,5,1,2,3,1,2, , ,1,1,2,2,1,2,1,1,2,2,1,2,1,1,2,3,1,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , ,1,1,1,1,1,2,2,4,1,1,6,6,3, , , , ,1,3,1,3,1,1,2,1.7795767905,3.6112768375,.9552226503
2024010030,41,5,3,1,6,6,1,2,1,2,1,5,4,3,1,8,2,8,2,2,1,2,2,8,3,1,3,1,1, , ,1,2,1,1,0,0,0,0,0,0,0,0,0,2,2,5,5,1, ,1,1,1,5,1,3,98, ,1,1,2,2,1,5,2,3,2,2,1,1,2,98, , , ,2,2,2, , , , ,2,2,2,1,2,1,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , ,1,1,1,1,1,2,2,1,1,2,7,6,2,1, ,2, ,1,3,98,2,1,1,98,1.1139687456,.7107250279,.7822846041
2024010031,26,4,2,2,3,9,2,6,2,1,3,5,6,3,1,2,1, ,1, , ,5,2,10,5,2,3,1,1, ,1, ,2,1,0,1,0,0,0,0,0,0,0,0,1,2,5,1,1, ,1,5,1,5,5,4,2, ,1,1,2,3,1,7,2,1,1,1,1, ,1,2,1,2,2,1,2,1,2,2, , ,2,2,2,3,2,1,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , ,1,1,1,1,1,2,2,1,1,2,7,5,3, , , , ,1,3,2,3,2,1,2,.5885630197,2.3589581838,1.6860972307
2024010032,5,9,4,1,6,6,1,6,1,2,1,5,5,3,1,1,2,4,1, ,1,5,2,8,7,1,3,1,1, ,1, ,2,1,1,0,0,0,0,0,0,0,0,0,2,2,5,2,2,1,1,1,1,5,1,3,2, ,1,2,2,2,1,6,3,3,3,2,2, , ,1,2,2,2,1,2,1,2,2, , ,2,2,2,1,1,1,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , ,1,1,1,1,1,2,2,1,1,2,7,6,3, , , , ,1,3,2,3,3,1,2,1.1730678831,3.1063791582,.8880631459
2024010033,47,5,3,1,5,5,1,2,2,1,3,6,5,2,1,4,2, ,1,2, ,2,2,2,6,1,3,1,1, ,2, ,2,2,1,1,0,0,0,0,0,0,0,0,1,2,5,5,7, ,3,3,4,4,3,3,2, ,1,1,2,3,3,2,3,2,3,1,2, , ,2, , , ,1,2,1,2,2, , ,2,2,2,3,3,2,2,1,2,2,2,2,1,0,0,0,0,0,1,0,0, , ,1,1,1,1,1,2,1,2,1,2,6,5,3, , , , ,1,3,1,3,1,1,2,1.1139687456,1.1407509307,.942802774
2024010034,14,3,2,1,5,5,1,6,4,1,3,5,1,3,1,1,2, ,1, , ,5,2,5,4,1,2,1,2, ,1, ,2,3,0,0,0,0,0,0,0,0,1,0,2,2,4,2,4,1,1,5,1,2,1,4,2, ,1,2,2,3,3,7,2,2,2,98,2, , ,2, , , ,2,2,2, , , , ,2,2,2,3,7, , , , , , ,2,2,1,0,0,0,0,0,0,0,2,2,1,1,1,1,2,2,2,1,1,2,7,5,3, , , , ,1,3,1,2,1,1,2,1.1732500707,1.0151192067,.8468299911
2024010035,41,5,3,2,6,12,1,4,1,2,1,5,3,3,1,8,2,8,2,2,2,3,2,5,1,1,3,2,1, , ,1,2,3,0,1,0,0,0,0,0,0,0,0,1,2,5,4,4, ,5,4,4,3,3,2,2, ,1,1,2,1,1,6,3,3,3,2,2, , ,1,2,2,2,1,2,1,1,2,2,1,1,2,2,3,2,1,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , ,1,1,1,1,1,2,2,1,1,1,7,7,3, , , , ,1,2,1,3,98,1,98,1.1873034111,.7509313519,1.0573752804
2024010036,31,2,1,1,6,6,1,4,4,1,3,6,3,3,1,8,2, ,2,2, ,3,2,3,6,3,2,1,2, , ,2,2,3,0,1,0,0,0,0,0,0,0,0,2,2,2,5,5, ,4,4,4,3,4,3,1,1,1,1,1,3,3,5,2,2,3,2,2, , ,1,2,2,2,1,2,1,2,2, , ,2,2,2,3,2,2,1,1,2,2,1,2,1,0,0,0,0,0,1,0,0, , ,1,3,1,1,1,2,1,5,1,2,4,5,3, , , , ,1,3,2,98,1,1,2,1.941958656,.6726614286,.9447031801
2024010037,23,3,2,1,6,6,1,5,1,2,1,6,4,2,1,8,2,8,2,2,1,4,2,5,2,3,2,1,1, , ,2,2,1,0,1,0,0,0,0,0,0,0,0,1,2,5,4,1, ,3,3,3,3,2,3,1,1,1,1,2,3,2,4,3,2,3,2,1,3,2,1,2,2,2,1,2,1,2,2, , ,2,2,2,2,2,1,2,2,2,2,2,1,2,0,0,0,0,0,1,0,0, , ,1,1,1,1,1,2,2,4,1,2,7,5,3, , , , ,1,3,2,98,98,1,2,1.398905345,1.0311440086,.9967155073
2024010038,14,3,2,2,3,9,1,2,2,2,2,1,4,3,1,6,2,2,1,2,2,2,2,1,1,2,2,1,2,2,2, ,1,4, , , , , , , , , , ,1,2,2,7,6, ,5,5,5,2,5,2,2, ,1,2,1,2,3,7,2,1,2,98,1,2,1,2,1,2,2,2,2,2, , , , ,1,2,2,3,7, , , , , , ,2,1,0,1,0,0,0,0,0,0,98,1,1,1,1,1,1,2,2,7,1,1,4,3,3, , , , ,98,98,98,98,98,1,98,1.3754143336,1.3924759959,1.1619722461
2024010039,23,3,2,1,2,2,2,3,2,2,2,1,2,2,1,2,2,2,1,1,2,2,1,3,5,1,1,2,1,1,1, ,2,1,0,1,0,1,0,0,0,0,0,0,1,2,1,2,3,2,2,1,1,1,1,3,1,1,2,2, , , ,6,2,1,2,1,2, , ,2, , , , , ,1,1,1,2,2,1,1,2,2,2,1,1,2,2,1,1,1,1,0,0,1,0,0,0,0,0,4,1,2,1,1,1,1,1,1,2,1,2,3,2,2,1, ,2,1,1,2,2,2,3,2,1,1.6317924562,1.1864746914,1.1174783814
2024010040,3,8,4,2,6,12,2,5,2,1,3,6,4,3,1,8,2, ,2,2, ,4,2,9,10,1,2,2,2, , ,2,2,4, , , , , , , , , , ,1,2,4,4,3, ,5,5,5,3,3,3,2, ,1,1,2,3,1,7,2,2,2,1,1, ,1,99,2,2,2,2,2,2, , , , ,2,2,2,2,2,99,99,99,99,99,99,2,1,0,0,0,0,0,1,0,0, , ,1,1,1,1,1,2,1,1,1,2,4,5,3, , , , ,2,3,3,1,98,99,99,.4653816968,2.0875309288,1.021208189
2024010041,38,9,4,1,6,6,1,6,4,4,3,5,6,3,1,8,2, ,2, , ,5,2,4,2,3,2,1,1, , ,2,2,2,1,0,0,0,0,0,0,0,0,0,1,2,3,6,2, ,3,4,4,2,3,2,2, ,1,1,2,3,3,3,2,3,3,2,2, , ,2, , , ,1,2,2, , , , ,1,2,2,1,1,1,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , ,1,1,1,1,3,1,2,2,1,2,4,5,2,2,1,2, ,1,3,2,2,1,1,2,1.1730678831,.3361722482,.7465465968
2024010042,10,5,3,1,6,6,1,4,1,2,1,5,4,3,1,1,1,8,1,2,1,3,2,5,1,1,3,1,1, ,98, ,2,1,1,0,0,0,0,0,0,0,0,0,1,1,5,4,4,1,2,2,2,5,2,4,2, ,1,1,2,1,3,7,1,1,2,2,2, , ,2, , , ,2,1,1,2,2, , ,2,1,1,1,3,2,1,1,2,2,2,1,2,0,0,0,0,0,1,0,0, , ,1,1,1,1,1,2,2,4,1,2,7,6,3, , , , ,2,3,2,2,2,1,2,1.1139687456,2.9593897058,1.0796247892
