NFCSID,STATEQ,CENSUSDIV,CENSUSREG,A3,A3Ar_w,A3B,A4A_new_w,A5_2012,A6,A7,A7A,A11,A8,AM21,AM22,X3,X4,AM8,A9,A10,A10A,A21,A22,A14,J1,J2,J3,J4,J5,J6,J8,J9,J10,J20,J11,J12,K_1,K_2,K_3,K_4,K_5,B20_1,B20_2,B20_3,B20_4,B11A,B21,B22_1,B22_2,B22_3,B22_4,B22_5,B22_6,B22_7,B22_8,B1,B2,B4,B23,B14,C1_2012,C2_2012,C3_2012,C4_2012,C5_2012,C10_2012,C11_2012,D20_1,D20_2,D20_3,D20_4,D20_5,D20_6,D20_7,EA_1,EA_2A,E4A,E5_2012,E7,E8,E20,E15,E16,F1,F2_1,F2_2,F2_3,F2_4,F2_5,F2_6,F10,G1,G20,G21,G22,G4,G25_1,G25_2,G25_3,G25_4,G25_5,G23,H1,H3,M1_1,M1_2,M4,M20,M21_1,M21_2,M21_3,M21_4,M22,M6,M7,M8,M9,M10,wgt_n2,wgt_d2,wgt_s3
2012010011,14,3,2,1,6,6,2,6,1,2,1,1,5,2,3,1, ,2,8,2,2, , ,3,4,6,2,2,1,2, ,1,1,1,2,2,2,1,2,1,98,2,1,1,2,2,3,2,1,2,2,3,1,3,3,1,1,2, ,1,1,3,1,1,2,2,2,1,2,1,1,2,2,1,1,2,1, ,1,2,98,1,2,2,2,1,2,2,2,2,2,2,1,1,98,2,1,1,1,1,1,5,1,1,4,3,4,98, , , , ,1,1,2,2,1,2,1.338352642658740,1.259143471634850,0.862271640473517
2012010012,7,1,1,2,2,8,1,4,4,3,3,6,2,3, ,1, , ,3, ,1,2, , ,1,98,3,2,2, ,2, ,2,3,2,2,2,2,2,2,2,2,2,1,2, ,3,2,3,2,3,3,3,3,3,1,1,2, ,2,2, , ,2, , , ,2,2,2,2,2,2,2,2,2, , , , , , ,2,2,99,1,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,5,1,2,5,5,5,98, , , , ,1,1,3,2,1,98,0.415504101382371,1.688294977537600,1.080302430254260
2012010013,38,9,4,1,6,6,1,6,1,2,1,5,3,2,3,1, ,2,1,4,1, , ,1,4,1,3,2,2, ,2, ,2,3,1,1,2,2,1,1,2,1,1,1,2,2,3,2,1,2,1,3,3,3,3,1,1,1, ,2,1,1,2,2, , , ,1,1,2,1,2,2,1,1,2,5,50,1,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2, ,2,1,1,1,1,1,5,1,2,6,7,5,2,1,1,2,2,1,1,3,2,1,2,1.134205362072920,0.360016446145402,0.679917501882241
2012010014,5,9,4,2,1,7,1,1,2,3,3,1,1,3, ,1, , ,5, ,1, , , ,5,4,3,3,2,2,2, ,2,2,2,2,2,98,98,2,2,2,98,2,98, , ,1,2,3,98,99,98,3,2,2,2, ,1, ,2, , ,2, , , ,2,98,2,98,2,98,2,2,2, , , , , , ,2,1,98,2,98,98,2,98,2,2,2,1,2,2,1,1,1,1,1,4,1,2,7,6,4,3, , , , ,2,3,3,3,98,98,1.550854523843770,4.241029913948570,1.126731838163070
2012010015,38,9,4,2,2,8,2,5,4,1,3,1,7,3, ,1, , ,1, ,1, , , ,6,6,1,3,1,1,1, ,2,1,1,1,2,2,2,2,2,2,2,2,2, , ,2,2,2,3,3,2,3,3,1,1,2, ,2,1, ,98,2, , , ,1,2,2,2,2,1,2,1,2,9,-98,1,2,98,1,2,1,1,2,2,2,2,2,98,2,2,2, ,2,1,1,1,1,1,1,1,2,7,6,5,3, , , , ,1,1,98,2,2,98,1.352778202144920,0.392935732906314,0.907139934215367
2012010016,14,3,2,2,5,11,1,6,1,2,1,2,6,3,3,1, , ,2,1,1, , ,1,9,10,1,3,1,1,1, ,2,1,1,1,2,1,1,2,1,2,1,1,2,2,3,2,2,1,1,2,1,2,3,1,1,2, ,1,1,3,1,1,1,2,2,1,2,2,2,2,1,2,1,1,8,10,1,2,1,1,2,3,1,2,2,2,2,2,1,2,2,2, ,2,1,1,1,1,1,6,1,1,7,7,7,2,1,1,1, ,1,1,3,1,1,2,1.095388776171500,1.266692720630290,1.020885730507920
2012010017,36,3,2,2,5,11,1,6,1,2,1,1,8,3,3,1, , ,2,2,1, , ,1,6,3,1,2,2,1,1, ,2,1,2,2,2,1,2,2,1,2,1,1,2,2,3,2,2,2,1,3,1,3,3,1,1,2, ,2,1,1,1,2,1,2,2,1,2,2,2,2,2,2,1,2,1, ,1,1,2,1,2,3,2,1,1,2,2,2,98,1,2,1,1,2,1,1,1,1,1,7,1,1,6,6,4,98, , , , ,1,1,3,2,1,2,1.095388776171500,1.110099227566150,1.030307541445210
2012010018,22,1,1,2,4,10,1,5,1,2,1,6,5,3,3,1, , ,1,2,1, , ,1,1,1,2,1,2, ,2, ,2,1,2,2,2,2,1,1,2,2,2,1,2, ,3,2,3,1,2,3,1,3,3,1,1,2, ,2,98, , ,2, , , ,1,2,2,2,2,2,2,1,2,2,-98,1,2,1,3,2,5,2,1,2,2,2,2,2,2,1,2, ,2,1,1,1,1,1,7,1,2,1,1,1,3, , , , ,1,98,98,98,1,98,0.279121554237484,2.039263892289900,0.892310328096271
2012010019,5,9,4,2,5,11,1,4,1,2,1,5,5,2,2,1, ,2,1,1,1,2, ,3,9,5,1,3,1, ,1, ,2,1,1,1,2,1,2,2,2,2,1,1,2,2,3,2,2,1,2,3,2,3,3,1,1,2, ,1,1,2,1,2,2,2,2,2,1,2,1,2,2,2,1,2,1, ,2,2, , ,2,2,1,2,2,2,2,2,1,2,2,2, ,2,1,1,1,1,1,1,1,1,7,7,6,3, , , , ,1,2,3,2,1,98,1.679737198407040,3.883697206629290,1.045929739194350
2012010020,38,9,4,1,4,4,1,2,2,1,3,6,1,3, ,1, , ,6, ,1,2, , ,3,98,1,2,98, ,2, ,2,3,2,2,2,2,2,2,2,2,2,2,2, , ,2,3,3,1,2,3,3,3,1,1,2, ,2,2, , ,2, , , ,2,2,2,2,2,2,2,2,2, , , , , , ,2,7, , , , , , , ,2,2,2, ,2,1,1,1,1,1,3,1,2,4,3,98,3, , , , ,1,98,98,98,98,98,1.806835090863740,0.433604711984707,1.077303293908960
