NFCSID,STATEQ,CENSUSDIV,CENSUSREG,A3,A3Ar_w,A3B,A4A_new_w,A5_2012,A6,A7,A7A,A11,A8,AM21,AM22,X3,X4,AM8,A9,A10,A10A,A21,A22,A14,J1,J2,J3,J4,J5,J6,J8,J9,J10,J20,J11,J12,K_1,K_2,K_3,K_4,K_5,B20_1,B20_2,B20_3,B20_4,B11A,B21,B22_1,B22_2,B22_3,B22_4,B22_5,B22_6,B22_7,B22_8,B1,B2,B4,B23,B14,C1_2012,C2_2012,C3_2012,C4_2012,C5_2012,C10_2012,C11_2012,D20_1,D20_2,D20_3,D20_4,D20_5,D20_6,D20_7,EA_1,EA_2A,E4A,E5_2012,E7,E8,E20,E15,E16,F1,F2_1,F2_2,F2_3,F2_4,F2_5,F2_6,F10,G1,G20,G21,G22,G4,G25_1,G25_2,G25_3,G25_4,G25_5,G23,H1,H3,M1_1,M1_2,M4,M20,M21_1,M21_2,M21_3,M21_4,M22,M6,M7,M8,M9,M10,wgt_n2,wgt_d2,wgt_s3
2012011858,43,6,3,1,6,6,1,4,1,2,1,5,5,2,3,1, ,2,8,8,2,2, ,1,8,1,2,3,1, , ,1,2,1,2,2,2,2,2,2,2,2,2,1,2, ,3,1,1,2,2,3,2,3,3,1,1,2, ,1,2, , ,2, , , ,2,1,2,1,2,2,2,1,2,1, ,2,2, , ,2,1,1,2,2,2,2,2,1,2,2,2, ,2,1,1,1,1,1,1,1,1,7,7,7,3, , , , ,1,3,3,98,98,98,0.779009431960573,1.477578058214130,1.074794264671750
2012011859,24,4,2,2,4,10,1,2,1,2,1,5,8,3,3,1, , ,1,1,1,2, ,3,6,8,1,3,2, ,1, ,2,2,2,2,2,1,2,1,1,2,1,2,2,2,2,1,1,3,2,3,1,3,3,1,1,1, ,1,2, , ,1,1,2,1,1,2,1,2,2,1,2,1,1,14,10,1,2,98,1,2,7, , , , , , , ,2,1,2, ,2,1,1,1,1,1,5,1,1,6,7,6,3, , , , ,1,1,98,98,1,2,0.467573511379771,1.867655670281970,1.088777405980180
2012011860,1,6,3,2,4,10,1,5,1,2,1,1,6,3,3,1, , ,8,2,2, , ,3,4,6,3,3,2,2, ,2,2,2,1,1,1,2,1,1,2,2,2,1,2, ,3,2,2,3,1,2,1,1,3,1,1,2, ,1,1,1,2,2, , , ,1,2,1,2,2,1,2,1,1,9,-98,1,2,2,98,2,7, , , , , , , ,1,2,1,2,2,1,1,1,1,1,4,1,1,6,5,5,3, , , , ,1,1,3,98,1,2,0.496811853935679,0.657708822624631,0.683720901782232
2012011861,19,7,3,1,3,3,2,2,2,2,2,6,3,2, ,1, ,2,2,6,1,2, ,98,6,4,2,98,98, ,98, ,98,98,98,98,99,2,98,99,1,98,98,98,98, , ,99,98,3,1,2,3,98,99,1,98,98, ,98,98, , ,98, , , ,99,98,2,1,2,98,99,1,98,2,-98,98,98, , ,98,6,1,1,1,1,1,1,98,98,98,98, ,98,4,4,4,4,4,4,98,98,1,4,4,98, , , , ,98,3,98,98,98,98,1.674091199077290,0.554300620846383,1.111005432934310
2012011862,18,6,3,2,5,11,2,5,1,2,1,5,5,3,3,1, , ,4,2,1, , ,3,2,2,3,2,2, ,98, ,1,2,2,2,2,2,2,2,2,2,2,1,2, ,3,2,2,2,1,3,1,3,3,1,1,2, ,2,1,2,98,2, , , ,1,2,2,2,1,2,2,1,2,2,-98,1,2,2,1,2,1,2,1,1,2,2,2,98,2,2,1,98,2,1,1,1,1,1,4,1,1,7,6,5,3, , , , ,1,1,3,2,1,98,0.590345352209368,0.677165386079169,0.769320479938587
2012011863,23,3,2,1,4,4,1,4,1,2,1,2,6,3,3,1, , ,4,4,1,2, ,1,7,4,1,1,1,1,2, ,1,2,1,1,2,2,1,1,2,1,1,1,2,2,3,2,3,2,1,3,1,3,3,1,1,2, ,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2, , , , , , ,1,1,2,1,2,2,2,2,1,1,2,1,2,1,1,1,1,1,1,2,1,1,6,7,7,2,1,1,2, ,1,1,98,1,1,2,1.697046156350520,1.134228401870330,1.105211761897990
2012011864,17,4,2,2,3,9,2,4,1,2,1,5,5,3,2,1, ,2,6,2,1,2, ,1,6,1,1,2,2, ,2, ,2,2,2,2,2,2,2,2,2,2,1,1,2,2,3,1,3,3,2,1,3,1,3,1,1,2, ,2,2, , ,2, , , ,1,2,2,2,1,2,2,2,2, , , , , , ,2,7, , , , , , , ,1,2,2, ,2,1,1,1,1,1,4,1,1,7,7,6,3, , , , ,1,1,1,2,1,98,0.496318051300891,0.915739538008158,0.970692577649431
2012011865,47,5,3,2,3,9,1,3,1,2,1,3,4,3,3,1, , ,4,1,1,2, ,3,6,6,3,2,2,2,2, ,1,4,1,1,2,2,2,2,2,1,2,1,2, ,3,1,3,3,2,3,3,3,3,1,1,1, ,2,1,3,1,2,2,1,1,1,2,1,2,1,2,2,2,2, , , , , , ,2,7, , , , , , , ,2,1,2, ,2,1,3,1,5,4,4,2,98,6,7,6,3, , , , ,1,1,1,1,1,98,1.048367509445800,1.237217255777510,1.025909850264870
2012011866,31,2,1,2,1,7,2,2,1,2,1,2,6,3,3,1, , ,2,2,1,2, ,1,6,9,1,2,2,1,2, ,2,2,1,1,2,2,2,2,2,1,1,1,1,2,3,2,1,1,3,2,2,3,3,1,1,2, ,2,2, , ,2, , , ,1,2,2,2,2,2,2,1,1,4,25,1,2,2,1,2,2,1,1,2,2,2,2,1,1,2,2, ,2,1,1,1,1,1,4,1,2,6,7,7,3, , , , ,1,1,3,4,1,2,3.397488462507520,0.666737299995446,1.049646140370120
2012011867,21,5,3,2,4,10,1,5,4,1,3,3,6,3, ,1, , ,2, ,1, , , ,8,5,2,2,1,1,1, ,2,2,1,1,1,1,1,1,1,2,1,1,1,1,3,2,2,1,1,2,1,2,2,1,1,1, ,1,1, ,1,1,1,2,2,1,2,2,2,2,1,1,1,2,1, ,1,2,2,1,2,3,1,1,2,2,2,2,2,2,1,1,2,2,1,1,1,2,1,3,1,1,6,6,6,2,1,1,1, ,1,1,1,1,1,2,0.727889344388003,0.704097844328236,0.743139480946256
2012011868,23,3,2,2,2,8,2,5,1,2,1,4,4,3,3,1, , ,2,5,1, , ,3,1,1,3,2,2,2,2, ,2,4,2,2,2,2,2,2,2,2,2,1,2, ,3,2,3,3,3,1,3,3,3,2,2, ,2, ,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2, , , , , , ,2,7, , , , , , , ,2,2,1,1,2,1,1,1,1,2,7,1,1,5,7,6,3, , , , ,1,1,1,98,1,2,1.073515153030050,0.900328320444031,0.833778858669240
2012011869,44,7,3,2,2,8,2,5,1,2,1,3,3,3,3,1, , ,4,2,1, , ,1,10,10,3,3,1,2,2, ,1,2,1,1,2,2,2,2,2,2,2,2,2, , ,2,2,1,2,3,1,3,3,1,1,2, ,2,2, , ,2, , , ,2,2,2,2,2,2,2,2,2, , , , , , ,2,2,1,2,2,2,2,2,2,2,2,2, ,2,1,1,1,1,1,7,2,2,7,7,7,1, , , , ,2,98,3,1,98,2,1.504959340250200,2.111103935245210,0.859632832422526
2012011870,23,3,2,2,6,12,2,4,1,2,1,5,7,3,3,1, , ,3,8,1,2, ,2,8,2,1,2,1, ,98, ,1,98,2,2,2,2,2,2,2,2,2,1,2, ,3,3,1,2,3,3,3,3,3,1,1,2, ,2,2, , ,2, , , ,2,2,2,2,2,2,2,1,2,1, ,2,2, , ,2,2,1,2,2,2,2,2,98,2,2,2, ,2,1,1,1,1,1,6,1,1,6,6,6,1, , , , ,1,1,3,1,1,2,1.674660007194650,1.095350347036170,0.989786251721015
2012011871,6,8,4,2,2,8,2,5,1,2,1,1,8,3,2,1, ,2,2,1,1, , ,1,5,7,1,2,1,1,2, ,2,1,2,2,2,1,2,1,1,2,1,1,2,1,2,3,1,2,2,3,2,3,3,1,1,2, ,1,1,3,1,98,1,2,2,1,2,2,2,2,2,2,1,2,8,10,1,1,1,1,2,3,2,1,1,1,2,2,98,1,2,2, ,2,1,1,1,1,1,6,1,1,5,4,6,3, , , , ,1,1,98,3,1,2,0.463137690577200,1.264592909930590,0.925042581070454
2012011872,18,6,3,2,2,8,2,6,1,2,1,4,7,2,2,1, ,1,1,2,1, , ,1,8,10,1,2,1,1,1, ,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,3,1,1,2, ,1,1,3,1,1,1,2,2,1,1,2,2,2,1,2,1,1,11,5,1,2,2,1,2,2,1,1,1,2,1,1,1,2,2,2, ,2,1,1,1,1,1,5,1,1,6,7,6,2,2,1,1,1,1,1,3,1,1,2,0.822199426661839,0.731135882976077,0.597146654314295
2012011873,21,5,3,1,2,2,2,2,2,4,3,6,5,3, ,1, , ,2, ,1,2, , ,1,1,2,1,2, ,2, ,1,4,2,2,1,1,1,1,2,2,2,1,2, ,3,2,3,2,1,3,2,3,3,1,1,1, ,2,2, , ,2, , , ,1,2,2,2,2,2,2,1,2,9,0,1,2,1,3,2,1,2,1,1,1,1,2,2,1,1,2, ,2,1,1,1,1,1,7,1,2,4,6,4,3, , , , ,1,1,98,98,98,98,2.504739785979590,1.220452957564860,1.495851237138370
2012011874,48,9,4,2,5,11,2,5,1,2,1,5,7,3,2,1, ,1,2,8,1, , ,3,1,1,3,2,2, ,2, ,1,4,2,2,2,2,2,2,2,2,2,1,2, ,3,2,2,3,1,3,3,3,3,1,1,2, ,2,1,1,2,2, , , ,1,2,2,1,1,2,2,2,2, , , , , , ,2,3,2,1,1,2,2,2,2,1,2,2, ,2,2,1,1,1,1,6,1,1,4,4,4,3, , , , ,1,1,3,1,2,2,1.465199883290880,0.634572141606434,0.799192523808942
2012011875,18,6,3,2,4,10,2,6,3,1,3,1,5,3, ,1, , ,2, ,1, , , ,7,8,2,2,2,2,2, ,2,2,2,2,2,2,2,2,1,2,2,1,2, ,3,1,1,2,3,3,2,3,3,1,1,2, ,1,1, ,2,1,2,2,2,1,2,2,2,2,2,2,1,2,6,5,1,2,2,1,2,1,2,1,2,2,2,1,2,1,2,2, ,2,1,1,1,1,1,6,1,1,7,7,5,3, , , , ,1,1,2,1,1,2,0.527353849624439,0.615539887196226,0.692911191811684
2012011876,39,2,1,2,4,10,2,6,4,1,3,2,6,3, ,1, , ,2, ,1, , , ,5,5,3,2,2,1,1, ,1,3,2,1,2,2,2,2,2,2,2,1,2, ,3,1,2,3,1,3,2,2,3,1,1,1, ,1,1, ,1,2,2,2,2,1,2,2,2,2,2,1,1,2,7,3,1,2,98,3,2,7, , , , , , , ,1,2,1,2,2,1,3,1,1,1,5,1,1,5,4,4,3, , , , ,1,1,3,4,1,98,1.512985446018940,0.722684538212992,0.713260816736347
2012011877,16,4,2,2,3,9,2,2,2,3,3,6,5,3, ,1, , ,1, ,1,2, , ,2,5,1,2,2, ,2, ,2,3,1,1,2,1,1,1,2,2,2,1,2, ,3,1,2,2,1,3,1,3,3,1,1,2, ,2,2, , ,2, , , ,1,2,2,2,2,2,2,1,2,11,0,1,98,2,1,2,1,1,2,2,2,2,2,2,2,2,2, ,2,1,1,1,1,1,3,2,2,7,7,5,3, , , , ,1,1,3,98,1,98,0.748688859534576,1.174418887951700,1.163491387156520
2012011878,3,8,4,2,3,9,2,4,1,2,1,1,5,3,3,1, , ,2,6,1,2, ,3,1,5,2,1,2,2,1, ,1,4,2,2,1,1,1,1,1,2,2,1,2, ,3,2,3,3,1,3,1,3,3,1,1,98, ,2,1,1,2,2, , , ,1,2,1,2,1,2,1,2,2, , , , , , ,1,7, , , , , , , ,1,1,1,1,1,3,1,1,1,1,4,1,1,4,7,5,2,1,2,2, ,1,1,98,98,1,98,0.645393471482282,2.128156850499580,0.727841235395949
2012011879,33,2,1,2,4,10,2,4,2,1,3,6,1,3, ,1, , ,2, ,1,2, , ,2,1,2,2,2, ,2, ,2,4,2,2,2,2,2,2,2,2,2,1,2, ,3,2,2,1,1,3,1,3,3,1,1,2, ,2,1, ,2,2, , , ,1,2,1,2,2,2,2,2,2, , , , , , ,2,5,2,1,1,2,2,2,2,2,1,1,2,2,1,1,1,1,1,7,1,1,7,1,4,98, , , , ,1,1,98,98,1,2,1.303236463612120,1.079578589257530,0.847036413704791
2012011880,39,2,1,2,5,11,2,2,5,1,3,5,4,3, ,1, , ,8, ,2,2, , ,8,1,1,3,2, , ,1,2,1,1,2,2,1,1,1,2,2,2,1,2, ,3,2,2,2,1,3,1,3,3,1,1,2, ,1,2, , ,1,2,2,2,2,1,2,2,2,2,2,1,2,1, ,2,1,2, ,2,3,2,1,1,2,2,2,1,2,2,2, ,2,1,1,1,1,1,5,1,1,5,5,4,3, , , , ,1,1,3,98,1,2,2.439422186378130,0.963397603953613,1.061867594413510
2012011881,22,1,1,1,2,2,2,5,2,2,2,6,5,3, ,1, , ,2,1,1, , ,3,8,5,3,3,1, ,1, ,2,2,2,2,2,1,2,1,1,2,1,1,2,2,3,1,2,1,1,3,2,3,3,1,1,2, ,1,1,3,1,1,1,2,2,1,2,2,2,2,1,2,1,1,10,10,1,2,98,1,2,2,2,1,1,2,2,2,1,2,2,2, ,2,1,1,1,1,1,3,1,1,6,6,6,2,1,1,2, ,1,1,3,1,1,2,0.442080273316646,2.547747017074780,0.806937061352137
2012011882,21,5,3,2,2,8,2,5,1,2,1,2,7,3,3,1, , ,2,1,1, , ,3,5,7,3,2,2,1,2, ,2,2,2,2,2,2,2,1,2,2,2,1,2, ,3,1,2,2,1,3,2,3,3,1,1,1, ,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,1,2,3,3,1,1,98,3,2,2,2,1,1,1,98,2,2,2,1,2, ,2,1,1,1,1,1,6,1,1,2,4,5,3, , , , ,1,1,3,98,1,2,0.798563179862149,0.703940205418226,0.689664423245306
2012011883,21,5,3,1,3,3,2,4,2,2,2,1,5,3, ,1, , ,2,3,1,2, ,1,6,5,3,1,2,2,2, ,2,4,2,2,2,2,2,2,2,2,2,1,2, ,3,1,2,2,1,3,1,3,3,1,1,1, ,2,2, , ,2, , , ,1,2,2,2,2,2,2,2,2, , , , , , ,2,3,2,1,1,1,1,2,2,1,2,1,2,2,1,1,1,1,1,7,1,1,6,7,5,2,1,1,2, ,1,1,3,1,1,2,1.340000401179270,0.951218541938143,1.115890406957510
2012011884,50,3,2,2,4,10,2,5,4,4,3,1,6,3, ,1, , ,6, ,1, , , ,1,6,2,1,2,2,2, ,2,3,2,1,2,2,2,2,2,2,2,2,2, , ,2,3,2,1,3,1,3,3,1,1,2, ,2,2, , ,2, , , ,2,2,2,2,2,2,2,1,2,1, ,1,2,1,3,2,3,2,1,1,1,2,2,2,2,1,2, ,2,1,1,1,1,1,7,1,1,7,3,3,3, , , , ,1,3,3,4,1,98,1.038662447223770,0.453869182778382,0.592734774037123
2012011885,18,6,3,2,2,8,2,6,1,2,1,1,6,3,3,1, , ,3,3,1, , ,3,8,7,2,2,1,1,1, ,1,3,1,1,2,1,1,1,1,2,1,1,2,2,3,2,2,1,1,3,1,2,3,1,1,2, ,2,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2, , , , , , ,2,3,2,2,1,2,2,2,2,1,1,1,2,2,2,1,1,1,1,5,1,2,5,5,5,3, , , , ,1,1,1,98,98,98,0.822199426661839,0.731135882976077,0.597146654314295
2012011886,39,2,1,1,5,5,1,5,1,2,1,5,5,3,3,1, , ,2,8,1, , ,1,8,7,3,3,1, ,1, ,2,1,2,1,2,1,2,2,2,2,1,1,2,2,3,1,1,2,3,3,2,3,3,1,1,2, ,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,1,1,5,100,2,1,2, ,2,2,1,2,2,2,2,2,2,2,2,2, ,2,1,1,1,1,1,1,1,1,7,6,6,2,2,1,2, ,1,1,3,2,1,2,1.551769296002540,0.761575290264788,0.786098403708057
2012011887,36,3,2,2,3,9,2,5,1,2,1,2,6,3,3,1, , ,1,2,1, , ,1,3,7,2,2,1,2,1, ,1,2,1,1,1,1,1,2,1,2,1,1,2,2,3,2,1,1,1,3,2,3,3,1,1,1, ,1,1,2,2,1,1,1,2,1,2,1,2,2,1,1,1,1,3,5,2,2, , ,1,3,2,1,1,1,2,2,1,1,2,1,2,2,1,2,1,1,1,7,1,2,7,7,7,2,2,1,1, ,1,1,3,2,1,2,1.038662447223770,0.901100848599096,0.786081473646937
2012011888,6,8,4,2,1,7,1,5,2,3,3,6,5,3, ,1, , ,3, ,1, , , ,1,2,1,2,2, ,2, ,2,4,2,2,2,2,2,2,2,1,2,1,2, ,3,2,2,3,1,3,2,3,3,1,1,1, ,98,2, , ,2, , , ,1,2,2,2,2,2,2,2,2, , , , , , ,2,7, , , , , , , ,1,2,1,1,2,1,1,1,1,1,6,1,2,5,7,5,3, , , , ,1,1,98,98,98,98,0.289240201023051,1.308545819477010,0.835566059734481
2012011889,50,3,2,2,2,8,1,5,1,2,1,1,5,3,3,1, , ,2,7,1, , ,1,4,4,3,2,2,2,2, ,1,4,1,1,2,2,2,2,2,2,2,1,2, ,3,2,2,3,1,3,2,3,3,1,1,2, ,2,1,1,98,2, , , ,1,2,2,2,2,2,1,2,2, , , , , , ,2,1,2,1,1,2,2,2,2,1,1,1,1,2,1,1,1,1,1,5,1,2,6,6,5,2,1,1,2, ,1,1,98,4,1,98,1.011341917357240,0.555665968458068,0.833086405751693
2012011890,22,1,1,1,5,5,1,6,1,2,1,5,7,2,3,1, ,2,1,8,1, , ,1,7,8,3,3,2, ,2, ,2,2,1,1,2,2,1,1,2,2,2,1,2, ,3,1,3,1,1,3,1,3,3,1,1,1, ,1,2, , ,1,2,2,2,2,1,2,1,2,1,2,1,2,1, ,1,1,2,1,2,2,2,1,1,1,2,2,2,2,2,2, ,2,1,1,1,1,1,3,1,1,7,5,7,2,2,1,2,2,1,1,3,2,1,2,0.303875684344105,1.968483152875320,0.741518875718173
2012011891,7,1,1,1,5,5,2,5,1,2,1,5,5,2,3,1, ,2,8,2,2, , ,1,7,1,1,3,2, , ,2,2,1,2,2,2,2,2,2,2,2,2,1,2, ,3,1,2,2,3,3,1,3,3,1,1,2, ,2,1,2,1,2,1,2,2,1,2,2,1,2,2,2,2,2, , , , , , ,2,3,2,1,1,2,2,2,2,2,2,2, ,2,1,1,1,1,1,4,1,2,7,7,5,1, , , , ,1,1,3,98,1,98,0.322556739893875,0.965522505239706,0.646867723965913
2012011892,39,2,1,2,5,11,2,4,2,4,3,5,1,3, ,1, , ,8, ,2,2, , ,5,6,1,2,98, , ,2,2,98,2,2,2,2,2,2,2,2,2,2,2, , ,2,2,3,1,3,2,3,3,1,1,2, ,2,2, , ,1,2,2,2,2,1,2,2,2,2,2,1,2,1, ,2,2, , ,2,7, , , , , , , ,2,2,2, ,2,1,1,1,1,1,4,1,1,4,5,4,3, , , , ,1,3,3,3,1,98,2.439422186378130,0.963397603953613,1.061867594413510
2012011893,47,5,3,2,3,9,2,2,1,2,1,1,5,3,1,2,2,2,4,2,1,2, ,98,7,5,1,3,1,2,2, ,2,1,2,2,2,2,2,2,2,2,2,1,2, ,3,2,2,2,1,3,2,3,3,1,1,2, ,2,2, , ,2, , , ,2,2,2,2,2,2,2,2,2, , , , , , ,2,2,2,1,2,2,2,2,2,2,2,2, ,2,1,1,1,1,1,4,1,1,6,4,3,98, , , , ,1,1,98,98,98,98,1.112816929684220,1.190753386651950,1.018728995669740
2012011894,14,3,2,2,5,11,2,2,4,4,3,6,8,3, ,1, , ,2, ,1,2, , ,99,99,98,99,99, ,99, ,99,99,99,99,99,99,99,99,99,99,99,99,99, , ,99,99,99,99,99,99,99,99,1,2,2, ,99,99, , ,99, , , ,99,99,99,99,99,99,99,99,99, , , , , , ,99,99, , , , , , , ,99,99,99, ,99,99,99,99,99,99,99,1,1,99,99,99,99, , , , ,99,99,99,99,99,99,1.674660007194650,1.436002464183120,1.082682658983060
2012011895,33,2,1,2,5,11,2,4,4,1,3,6,4,3, ,1, , ,3, ,1,2, , ,7,98,1,3,2, ,1, ,2,4,2,2,2,2,2,2,2,2,2,1,2, ,3,3,2,3,1,3,1,2,3,1,1,2, ,2,1, ,2,2, , , ,1,1,2,1,2,2,2,1,2,1, ,2,2, , ,2,7, , , , , , , ,2,2,2, ,2,1,1,1,1,1,7,1,1,7,6,6,3, , , , ,1,2,98,2,1,98,2.439422186378130,1.477087283324680,0.973031616357877
2012011896,11,5,3,1,1,1,2,6,1,2,1,5,3,3,3,1, , ,7,4,1, , ,1,1,2,2,2,2, ,1, ,2,3,1,1,2,1,2,2,2,2,2,1,2, ,3,2,3,1,1,3,1,3,3,1,1,2, ,2,2, , ,2, , , ,1,2,1,2,2,2,2,1,2,2,25,1,1,2,3,2,1,2,1,2,2,2,2,2,1,2,2, ,2,1,1,1,1,1,4,1,1,6,6,6,2,2,1,1, ,1,1,3,2,1,2,1.152850847332050,1.511062796436920,0.974107707266593
2012011897,47,5,3,1,5,5,2,2,1,2,1,6,4,3,3,1, , ,6,8,3,2, ,3,10,1,1,1,2, , ,2,1,4,2,2,2,2,2,2,2,2,2,2,2, , ,2,3,2,3,3,3,2,3,1,2,2, ,2,2, , ,2, , , ,2,2,2,2,2,2,2,1,2,1, ,1,2,1,1,2,1,2,2,1,2,2,2,2,2,2,2, ,2,1,1,1,1,1,7,1,1,6,6,6,3, , , , ,1,1,3,2,1,1,1.211508036279360,1.227511988012480,1.130242371384960
2012011898,4,7,3,2,2,8,2,6,2,2,2,6,5,3, ,1, , ,2,2,1, , ,1,7,4,98,3,1, ,98, ,2,1,1,1,2,2,1,2,2,1,1,1,2,1,3,3,2,2,2,98,1,98,98,1,1,2, ,1,1,3,1,98,98,2,2,2,2,2,2,2,2,2,1,2,9,0,1,2,2,1,2,3,1,2,2,2,2,2,98,1,2,1,1,2,1,1,1,1,1,4,1,1,6,7,5,98, , , , ,1,1,3,98,1,98,0.997662082890337,0.278666906053381,0.772159156392195
2012011899,40,1,1,2,4,10,1,4,4,2,2,6,3,3, ,1, , ,6,3,1,2, ,3,1,5,2,2,98, ,1, ,1,4,2,1,2,2,2,2,2,2,1,1,2,2,2,1,1,2,2,3,3,2,3,1,1,2, ,1,1,3,2,98, , , ,1,2,1,2,1,2,1,1,2,1, ,1,2,2,1,2,2,2,1,1,2,2,2,98,2,1,2, ,2,1,1,1,1,1,7,2,1,5,7,6,2,1,1,2, ,1,1,3,98,1,2,0.402014359606574,0.463513710972483,0.882615399019299
2012011900,20,1,1,2,2,8,2,4,2,1,3,2,1,3, ,1, , ,2, ,1,1,2, ,4,7,2,2,1,2,2, ,1,3,1,1,2,2,2,1,2,1,2,1,2, ,3,2,2,2,1,3,1,3,3,1,1,2, ,2,2, , ,2, , , ,1,2,2,2,1,2,1,2,2, , , , , , ,2,1,2,1,1,2,2,2,1,1,2,2, ,2,2,1,1,1,1,5,1,1,6,1,6,1, , , , ,1,1,98,98,1,2,0.263770223398546,0.475570708694458,0.706115845412569
2012011901,33,2,1,2,1,7,1,5,2,1,3,6,5,3, ,1, , ,2, ,1, , , ,8,2,1,3,1, ,1, ,2,1,2,2,2,2,2,2,2,2,2,1,2, ,3,2,2,1,1,3,2,2,3,1,1,2, ,2,2, , ,2, , , ,1,2,2,2,2,2,2,2,2, , , , , , ,2,3,1,2,2,2,2,2,1,2,2,1,2,2,1,1,1,1,1,3,1,2,7,7,7,98, , , , ,1,1,3,98,1,98,1.473188528188630,1.257446165196070,0.973401945280202
2012011902,33,2,1,2,3,9,2,4,1,2,1,6,2,3,3,1, , ,4,6,1,2, ,3,6,6,1,1,2, ,2, ,2,3,2,2,2,2,2,1,2,2,1,2,2,1,2,1,3,3,2,3,3,3,3,1,2,2, ,2,2, , ,2, , , ,2,2,2,2,1,2,2,1,1,1, ,2,2, , ,2,7, , , , , , , ,2,1,2, ,2,1,1,1,1,1,4,2,2,7,4,6,3, , , , ,2,2,3,98,1,2,3.287185719663360,1.329996006071370,0.955027047312121
2012011903,10,5,3,1,3,3,2,1,3,1,3,2,1,3, ,1, , ,1, ,1, , , ,1,1,1,1,2,2,2, ,1,4,1,1,2,2,2,2,2,2,2,2,2, , ,3,3,2,3,3,3,3,3,2,2, ,1, ,2, , ,2, , , ,2,2,2,2,2,2,2,2,2, , , , , , ,2,2,2,1,1,2,2,2,98,1,1,2, ,2,1,1,1,2,1,6,1,2,1,3,98,3, , , , ,1,1,98,98,98,98,2.021371919689790,3.057017998542230,0.950258705232149
2012011904,16,4,2,1,5,5,2,6,1,2,1,5,6,2,2,1, ,2,7,2,1, , ,3,1,10,1,1,2, ,2, ,1,4,2,2,1,1,2,2,2,2,1,2,2,2,2,2,1,1,2,1,1,3,3,1,1,1, ,1,1,98,98,98, , , ,2,2,2,2,2,2,2,1,2,98, ,1,1,98,1,2,2,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,7,1,1,7,7,7,3, , , , ,1,1,3,1,2,2,0.375158209868393,0.741573325043153,0.668757277723752
2012011905,10,5,3,2,5,11,2,6,1,2,1,5,4,3,2,1, ,2,3,3,1, , ,3,4,1,3,2,1, ,2, ,1,1,1,1,2,2,2,1,2,2,2,1,2, ,3,2,2,1,3,3,2,3,3,1,1,2, ,2,1,3,1,2,1,2,2,1,2,2,1,2,2,1,1,2,1, ,2,2, , ,2,3,1,2,2,2,2,2,2,2,2,2, ,2,1,1,1,1,1,1,2,1,7,6,5,3, , , , ,1,1,3,3,1,2,1.304730637414140,2.223601289469470,0.893565573897721
2012011906,6,8,4,1,5,5,1,4,2,1,3,6,1,2, ,1, ,2,8, ,2,2, , ,1,6,3,2,2, , ,2,2,4,2,2,2,2,2,2,2,2,2,2,1, ,4,2,3,3,3,2,3,2,3,2,2, ,1, ,2, , ,2, , , ,2,2,2,2,1,2,2,2,2, , , , , , ,2,7, , , , , , , ,2,2,2, ,2,1,1,2,1,1,4,2,2,5,7,5,3, , , , ,1,1,3,98,1,98,0.438809147217351,2.042981286586510,1.048094619042010
2012011907,48,9,4,2,2,8,2,5,1,2,1,1,5,3,3,1, , ,2,7,1, , ,1,6,4,1,3,2,2,1, ,1,3,2,1,2,1,2,2,2,2,2,1,2, ,3,2,3,2,3,3,2,3,3,1,1,2, ,2,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2, , , , , , ,2,3,2,1,2,2,2,2,1,1,2,1,2,2,1,1,1,1,1,2,1,1,7,7,4,2,2,2,1, ,1,1,2,2,1,1,1.142965288133280,0.563862743589963,0.912501415515336
2012011908,41,5,3,1,2,2,2,4,2,4,3,1,4,3, ,1, , ,2, ,1,2, , ,7,6,1,3,1,1,1, ,2,1,1,1,2,2,2,2,2,1,2,2,1, ,4,2,3,2,1,2,3,3,3,1,1,2, ,2,1, ,2,1,1,2,2,2,2,2,2,2,2,2,1,2,10,20,2,2, , ,2,2,1,1,2,2,2,2,1,2,2,2, ,2,1,1,1,1,1,1,1,1,7,7,6,3, , , , ,1,1,2,2,1,98,1.660432840373780,0.954366766665872,1.593018295357490
2012011909,7,1,1,2,1,7,2,2,1,2,1,2,2,3,3,1, , ,4,4,1,2, ,98,1,98,2,1,2,2,2, ,1,4,2,1,2,2,2,2,2,2,1,2,1,1,4,2,3,3,3,2,3,2,3,2,2, ,2, ,2, , ,2, , , ,1,2,2,2,1,2,1,2,2, , , , , , ,2,7, , , , , , , ,2,1,2, ,2,1,1,1,1,1,7,1,2,4,7,5,3, , , , ,1,1,2,1,2,1,0.665314189586840,1.667450806236010,1.137208989673570
