NFCSID,STATEQ,CENSUSDIV,CENSUSREG,A3,A3Ar_w,A3B,A4A_new_w,A5_2015,A6,A7,A7A,A11,A8,AM21,AM30,AM31,AM22,X3,X4,A9,A40,A10,A10A,A21_2015,A22_2015,A14,A41,J1,J2,J3,J4,J40,J5,J6,J8,J9,J10,J20,J32,J33_1,J33_40,J33_41,J41_1,J41_2,J41_3,J42_1,J42_2,J43,B1,B2,B4,B40,B41_1,B41_2,B31,B42,B43,B44,C1_2012,C2_2012,C3_2012,C4_2012,C5_2012,C10_2012,C11_2012,B14,C40,C41,D40,EA_1,E7,E8,E20,E15_2015,F1,F2_1,F2_2,F2_3,F2_4,F2_5,F2_6,F10,G1,G20,G30_1,G30_2,G30_3,G30_4,G30_5,G30_97,G30_98,G30_99,G33,G35,G22_2015,G40,G25_1,G25_2,G25_3,G25_4,G25_5,G38,G23,H1,H30_1,H30_2,H30_3,M1_1,M1_2,M4,M40,M20,M21_1,M21_2_2015,M21_3,M21_4,M41,M42,M6,M7,M8,M31,M9,M10,wgt_n2,wgt_d2,wgt_s3
2018010011,28,4,2,2,2,8,1,4,1,2,1,3,5,3, , ,3,1, ,3,2,3,1,2, ,1,5,8,6,2,2,1,2,2,2, ,1,2,4,6,6,4,3,2,2,3,3,3,1,2,1,7,3,3,2,2,2,3,1,1,1,98,1,2,2,2,3,2,1,2, , , , ,3,2,2,1,1,2,2,2,1,1,0,1,0,0,0,0,0,0,2,3,2,99,2,1,1,5,1,2,4,1,1,1,1,4,6,6,2,3, , , , , , ,1,2,1,1,98,98,0.44583726,0.54592813,0.77234163
2018010012,11,5,3,2,4,10,1,6,1,2,1,5,6,3, , ,3,1, ,4,2,2,1, , ,1,1,4,7,3,2,2,2, ,1, ,1,4,4,7,7,5,4,4,4,2,5,98,1,1,1,4,2,3,2,3,3,3,2, , ,1,2,2,2,2,5,2,2,2, , , , ,1,2,1,2,2,2,2,1,1,1,0,0,0,0,0,1,0,0, , , ,1,2,5,1,5,2,2,6,1,1,1,1,5,5,5,1,2,2,1,1, ,3,5,1,3,1,3,1,98,0.81511584,1.20213958,0.79392197
2018010013,10,5,3,2,6,12,1,7,4,4,3,6,4,2,4,2, ,1, ,8,2, ,2, , , ,6,5,6,1,3,1,1, , ,1,2,1,5,5,5,4,3,4,3,4,3,4,1,1,2,7,3,1,3,3,3,3,1, ,1,1,2,2,2,2,6,1,2,2, , , , ,1,1,2,2,2,2,2,1,2,2,0,0,0,0,0,1,0,0, , , ,2,1,1,1,1,1,2,1,1,2,2,2,7,7,6,2,3, , , , , , ,1,3,4,3,1,98,0.94693104,2.78953879,1.02804981
2018010014,22,1,1,1,5,5,1,6,2,1,3,6,3,3, , , ,1, ,8,1, ,2, , , ,2,7,3,2,3,1,1, , ,2,2,1,5,4,5,5,2,2,3,5,3,3,1,1,2,7,2,3,3,3,2,3,2, , ,1,2,2,2,1,6,2,1,1,2,2, , ,3,1,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , ,2,1,1,1,1,1,2,2,1,2,2,2,6,7,6,2,98, , , , , , ,1,3,2,2,1,99,0.36434387,2.31973226,0.90392731
2018010015,31,2,1,2,6,12,1,4,3,2,2,6,5,3, , , ,1, ,8,2,2,2,2, ,1,2,2,4,1,2,1,2, , ,2,2,2,5,7,7,7,5,4,5,2,4,1,1,1,2,7,1,1,3,3,3,3,2, , ,2, , , ,2,5,1,1,2, , , , ,2,2,1,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , ,2,1,1,1,1,1,2,1,1,2,2,2,7,6,3,2,98, , , , , , ,98,98,98,98,1,98,2.21928624,0.68906518,1.05631859
2018010016,41,5,3,2,4,10,1,2,1,2,1,5,5,3, , ,3,1, ,2,2,4,1,2, ,3,2,2,2,3,2,1,2, ,2, ,1,4,3,7,6,5,5,4,5,2,5,2,1,2,2,4,2,1,3,3,3,3,1,2,2,2, , , ,2,5,2,2,2, , , , ,7, , , , , , , ,1,1,0,0,0,0,0,1,0,0, , , , ,1,1,1,3,2,2,5,1,2,1,1,3,4,3,2,3, , , , , , ,98,1,2,2,1,2,1.0264198,0.65444575,0.87295095
2018010017,36,3,2,1,6,6,1,6,1,2,1,6,3,3, , ,3,1, ,8,2,8,2, , ,3,2,7,1,3,3,1,99, , ,2,98,1,5,5,4,4,2,2,2,2,3,3,1,1,2,5,2,1,3,3,3,3,1,3,98,2, , , ,2,4,1,2,1,2,2, , ,1,1,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , ,98,1,1,1,1,1,2,4,1,2,2,2,5,5,5,2,3, , , , , , ,1,3,98,2,98,98,1.25936912,1.20802537,1.04532949
2018010018,24,4,2,2,5,11,1,2,1,2,1,5,2,3, , ,3,1, ,8,1,8,2,2, ,98,1,7,2,3,3,1,98, , ,1,2,2,98,4,1,98,1,3,3,5,2,3,1,2,2,6,1,1,3,3,3,3,1,1,98,2, , , ,2,6,2,2,1,2,2, , ,7, , , , , , , ,2,2,0,0,0,0,0,1,0,0, , , , ,1,1,1,1,1,2,1,98,2,2,2,4,7,4,2,3, , , , , , ,98,3,98,98,1,98,0.52226536,1.83344125,1.00720949
2018010019,39,2,1,2,2,8,1,6,1,2,1,2,4,3, , ,2,1, ,1,1,2,1, , ,3,5,5,2,3,2,2,2,2,2, ,2,3,5,6,6,5,3,4,3,2,3,2,1,1,2,4,3,3,3,3,3,3,1,2,1,2,98,2,2,2,6,2,2,2, , , , ,1,2,1,1,2,2,2,98,2,1,1,1,0,0,0,0,0,0,2,3,1,1,1,1,1,1,1,2,6,1,2,2,2,5,6,3,2,3, , , , , , ,1,98,98,4,1,98,1.50450199,0.73749902,0.86037105
2018010020,49,5,3,2,5,11,1,2,5,1,3,5,2,3, , , ,1, ,4,2, ,1,2, , ,1,2,98,3,2,2,2, ,2, ,1,2,3,98,5,6,2,3,4,2,3,3,1,2,2,6,1,1,3,3,3,3,2, , ,2, , , ,2,6,2,1,1,2,2, , ,2,2,2,2,2,2,2,1,2,2,0,0,0,0,0,1,0,0, , , , ,1,1,1,1,1,2,4,1,2,2,2,7,7,7,2,3, , , , , , ,1,2,1,3,1,1,1.1924057,0.27370428,1.13103798
2018010021,44,7,3,2,5,11,1,5,5,1,3,5,3,3, , , ,1, ,2,2, ,1,2, , ,2,5,2,1,3,1,1, ,1, ,2,1,5,7,2,2,2,2,4,5,2,4,1,1,2,7,3,2,3,3,2,3,1, ,2,1,1,2,2,2,6,1,2,2, , , , ,3,1,2,2,2,2,2,1,2,2,1,0,0,0,0,0,0,0,2,2,2,2,1,1,1,1,1,2,1,1,2,1,2,7,7,5,2,3, , , , , , ,3,3,2,4,1,98,1.50688733,2.93764533,1.09698389
2018010022,39,2,1,2,6,12,1,3,5,1,3,5,2,3, , , ,1, ,8,2, ,2,2, , ,2,4,1,3,3,1,2, , ,2,2,2,4,4,4,4,3,4,3,3,3,3,1,1,1,4,3,3,3,3,3,3,2, , ,2, , , ,2,6,2,1,2, , , , ,3,2,1,1,2,2,2,1,2,2,0,0,0,0,0,1,0,0, , , , ,1,1,1,1,1,2,5,1,2,2,2,6,5,5,2,2,1, ,1, ,3,5,1,3,4,4,1,98,2.21928624,0.98406119,1.04560183
2018010023,10,5,3,1,6,6,1,7,1,2,1,1,6,3, , ,3,1, ,8,2,8,2, , ,3,5,8,6,3,3,1,2,2, ,1,2,2,5,5,4,4,2,3,3,4,3,2,1,1,1,6,2,1,3,3,3,3,1,3,2,2, , , ,2,5,1,2,1,2,2, , ,3,2,1,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , ,2,1,1,1,1,1,2,4,1,2,2,2,7,7,6,2,3, , , , , , ,1,3,1,2,1,2,0.98049684,2.78650561,1.01331176
2018010024,33,2,1,2,6,12,1,4,1,2,1,5,5,3, , ,3,1, ,8,2,8,2,2, ,3,3,10,3,3,3,1,1, , ,1,2,1,5,2,2,2,1,1,1,5,1,4,1,1,2,7,1,1,3,3,3,3,1,1,2,1,2,2,2,2,5,1,2,1,2,2, , ,1,1,2,2,2,2,2,98,2,2,0,0,0,0,0,1,0,0, , , ,2,1,1,1,1,1,2,1,1,2,2,2,7,7,7,2,3, , , , , , ,1,3,98,98,1,2,2.21928624,1.53257266,1.09698499
2018010025,10,5,3,2,3,9,1,4,2,4,3,6,4,3, , , ,1, ,4,1, ,1,2, , ,2,5,4,1,2,1,2, ,2, ,2,4,3,5,5,5,2,3,3,2,3,3,1,2,2,5,3,2,3,3,3,3,2, , ,2, , , ,2,3,2,2,1,1,2,1,1,3,2,1,1,2,2,1,1,1,2,0,0,0,0,0,1,0,0, , , ,98,1,1,1,1,1,2,7,1,1,1,1,4,1,3,2,3, , , , , , ,1,1,98,3,1,98,1.0264198,2.74637434,0.90901774
2018010026,33,2,1,2,2,8,1,4,1,2,1,1,5,3, , ,3,1, ,2,2,2,1,2, ,3,4,4,2,3,2,2,2,2,2, ,2,3,2,5,5,5,4,4,4,3,4,2,1,1,2,4,3,2,3,3,3,3,1,3,2,2, , , ,2,6,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,1,2,0,0,0,0,0,1,0,0, , , ,2,1,1,1,1,1,2,6,1,1,2,2,6,1,5,2,98, , , , , , ,1,98,98,98,1,98,1.89451679,1.39728733,1.06198173
2018010027,3,8,4,2,1,7,1,2,2,4,3,6,1,3, , , ,1, ,7,1, ,1,2, , ,3,3,3,3,2,3,2, ,2, ,1,2,98,4,7,5,4,3,5,1,2,3,1,2,1,4,3,3,3,3,3,1,2, , ,2, , , ,2,6,2,2,2, , , , ,7, , , , , , , ,2,2,0,0,0,0,0,1,0,0, , , , ,1,1,1,1,1,2,1,1,2,2,1,4,4,2,2,3, , , , , , ,1,98,2,98,98,98,0.40065216,2.09830342,0.96278557
2018010028,26,4,2,1,5,5,1,2,2,1,3,6,1,3, , , ,1, ,1,2, ,1,2, , ,2,9,1,2,3,1,2, ,2, ,2,1,5,1,1,1,1,5,1,2,2,4,1,2,2,7,3,1,3,3,1,3,2, , ,2, , , ,2,6,2,1,1,2,2, , ,6,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , , ,1,1,1,1,1,2,2,1,2,2,2,7,7,6,2,2,1, ,2, ,2,5,98,2,98,98,1,98,0.54077806,2.11127453,1.05641992
2018010029,10,5,3,1,6,6,1,2,5,4,3,5,4,3, , , ,1, ,8,2, ,2,2, , ,2,8,2,1,3,1,2, , ,1,2,1,5,4,2,1,1,3,1,4,2,3,1,1,2,7,3,1,3,3,3,3,1, ,98,1,2,2,2,2,6,1,1,1,2,2, , ,1,1,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , , ,1,1,1,1,1,2,1,1,2,2,2,6,2,5,2,3, , , , , , ,1,3,98,2,1,98,1.23467282,3.06126552,0.98193026
2018010030,10,5,3,2,5,11,1,4,1,2,1,5,4,3, , ,3,1, ,6,2,1,1,2, ,1,3,6,2,3,3,3,98, ,2, ,2,2,5,4,4,4,98,98,98,3,99,98,1,1,2,4,3,1,3,3,3,3,2, , ,2, , , ,2,6,1,1,1,2,2, , ,3,1,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , ,2,1,1,1,1,1,2,1,1,2,2,2,4,6,5,2,3, , , , , , ,1,2,4,98,2,98,1.1924057,3.06459779,0.99621188
2018010031,47,5,3,1,6,6,1,6,1,2,1,5,7,3, , ,3,1, ,8,2,2,2, , ,1,2,4,6,3,2,1,2, , ,1,2,1,4,5,5,5,2,2,2,3,2,3,1,1,2,6,3,1,3,3,3,3,2, , ,1,1,2,2,2,3,2,2,1,2,2, , ,3,2,1,1,1,2,2,2,1,2,0,0,1,0,0,0,0,0,2,98,2,2,1,1,1,1,1,2,4,1,2,2,2,6,7,6,2,3, , , , , , ,1,3,2,98,98,2,0.98049684,1.09619878,1.00469114
2018010032,14,3,2,2,6,12,1,7,1,2,1,6,6,3, , ,2,1, ,8,2,8,2, , ,3,6,8,4,1,3,1,1, , ,1,2,1,5,4,4,4,4,2,3,5,2,2,1,1,2,7,3,1,2,3,3,3,1,2,1,2,2,2,2,2,6,2,2,1,2,2, , ,3,1,2,2,2,2,2,1,1,2,0,0,0,0,0,1,0,0, , , ,2,1,1,1,1,1,2,4,1,2,2,2,6,6,5,2,3, , , , , , ,1,3,2,3,1,2,1.21625656,1.28100016,0.83772173
2018010033,5,9,4,2,3,9,2,4,4,3,3,1,3,3, , , ,1, ,2,2, ,1,2, , ,3,7,8,3,3,3,2,2,2, ,2,2,5,5,6,5,1,1,1,4,2,3,1,2,2,6,2,3,1,2,2,2,1, ,2,2, , , ,2,5,2,2,2, , , , ,2,1,2,2,2,2,2,2,1,2,0,0,0,0,0,1,0,0, , , ,98,2,1,98,1,1,2,6,1,2,2,2,4,4,6,2,3, , , , , , ,1,3,2,98,98,2,1.80075738,7.36292273,1.27470946
2018010034,38,9,4,2,6,12,1,5,1,2,1,5,7,3, , ,3,1, ,8,2,8,2,2, ,3,4,10,2,1,3,1,1, , ,1,2,1,5,1,1,1,1,1,1,5,2,4,1,1,2,7,3,1,3,3,3,3,1,3,1,1,1,2,2,1,4,2,2,1,1,2,2,1,2,1,2,2,2,2,2,2,1,2,0,0,0,0,0,1,0,0, , , ,2,1,1,1,1,1,2,1,1,2,2,2,7,7,7,1,2,2,1,2, ,3,7,1,3,4,3,1,2,0.68360986,0.29383277,1.04053084
2018010035,48,9,4,1,6,6,1,4,1,2,1,5,5,2,4,2,3,1, ,8,2,8,2,2, ,2,4,5,6,1,2,2,2, , ,2,2,1,4,3,3,3,2,3,2,2,3,4,1,1,2,4,3,3,2,3,3,3,2, , ,2, , , ,2,4,1,2,1,2,2, , ,2,99,1,1,2,2,2,1,1,2,0,0,0,0,0,1,0,0, , , ,2,1,1,1,1,1,2,5,1,2,2,2,5,5,4,2,98, , , , , , ,1,3,1,98,98,98,0.70791752,0.5142895,1.09689382
2018010036,10,5,3,2,6,12,1,6,1,2,1,5,6,3, , ,2,1, ,8,2,8,2, , ,1,5,10,3,1,3,1,1, , ,2,2,1,5,1,1,1,1,1,1,5,1,4,1,1,2,7,3,1,3,3,3,3,1,3,1,1,2,2,2,1,6,1,2,1,2,2, , ,2,1,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , ,2,1,1,1,1,1,2,1,1,2,2,2,7,7,7,2,3, , , , , , ,2,3,2,2,98,98,0.94693104,2.78953879,1.02804981
2018010037,33,2,1,2,6,12,1,2,1,2,1,6,2,3, , ,2,1, ,8,2,8,2,2, ,99,2,8,1,3,2,1,1, , ,2,2,2,5,6,7,7,4,4,4,2,4,3,99,2, ,7, , ,3,3,3,3,2, , ,2, , , ,2,6,1,2,1,2,2, , ,1,1,2,2,2,2,2,1,2,2,0,0,0,0,0,1,0,0, , , , ,1,1,1,1,1,2,1,1,2,2,2,7,5,6,2,3, , , , , , ,1,3,98,98,1,98,2.21928624,1.53257266,1.09698499
2018010038,38,9,4,2,2,8,1,5,1,2,1,2,5,3, , ,3,1, ,2,1,2,1,2, ,1,4,10,10,2,2,2,1,2,2, ,2,3,2,7,7,7,4,4,3,5,5,3,2,2, ,7, , ,3,3,3,3,2, , ,2, , , , ,6,2,1,1,2,2, , ,7, , , , , , , ,1,1,0,0,0,0,0,1,0,0, , , ,2,4,5,98,4,5,1,7,1,2,2,1,7,7,7,2,3, , , , , , ,98,98,3,98,98,98,0.58357067,0.27216797,0.90036318
2018010039,10,5,3,2,2,8,1,6,2,4,3,6,2,3, , , ,1, ,2,2, ,1, , , ,4,6,4,1,3,1,2, ,1, ,2,2,4,7,6,6,3,3,5,4,4,3,1,1,2,6,2,1,2,3,3,3,2, , ,2, , , ,2,5,2,2,1,2,2, , ,7, , , , , , , ,2,2,1,0,0,0,0,0,0,0,2,2,1,2,1,1,1,1,1,1,7,1,2,2,1,6,5,4,2,3, , , , , , ,98,3,1,3,2,98,0.80835753,2.51684077,0.92269329
2018010040,36,3,2,1,6,6,2,6,4,1,3,5,2,3, , , ,1, ,6,2, ,1, , , ,5,1,1,3,1,1,2, ,1, ,2,4,5,1,1,1,1,1,1,1,1,98,1,1,2,7,3,1,3,3,3,3,2, , ,2, , , ,2,6,2,1,1,1,2,2,1,98, , , , , , , ,2,1,0,0,0,0,0,1,0,0, , , ,98,1,1,1,1,1,2,7,1,1,1,1,7,7,7,2,3, , , , , , ,1,3,2,2,1,2,1.15400841,1.47299268,1.28399818
2018010041,41,5,3,2,3,9,1,2,1,2,1,3,3,99, , ,99,1, ,4,2,1,1,2, ,1,2,10,98,3,2,99,2,2,2, ,2,4,1,4,6,5,5,5,5,1,5,1,1,2,2,7,3,3,3,3,3,3,2, , ,2, , , ,2,6,2,1,1,2,2, , ,7, , , , , , , ,2,2,0,0,0,0,0,1,0,0, , , , ,1,1,1,1,1,2,4,1,2,2,2,7,6,4,2,3, , , , , , ,98,98,98,98,98,98,1.0264198,0.65444575,0.87295095
2018010042,44,7,3,2,6,12,1,2,1,2,1,5,6,3, , ,2,1, ,4,2,8,3,2, ,3,1,10,7,1,3,1,1, , ,1,2,1,5,1,4,1,1,1,1,5,1,4,1,1,2,7,3,1,3,3,3,3,1,2,98,2, , , ,1,5,1,2,1,2,2, , ,3,1,2,2,2,2,2,98,1,2,0,0,0,0,0,1,0,0, , , , ,1,1,1,1,1,2,1,1,2,2,2,1,6,7,2,3, , , , , , ,1,3,98,3,98,2,1.50688733,2.93764533,1.09698389
2018010043,48,9,4,1,6,6,2,4,1,2,1,5,3,3, , ,3,1, ,8,2,8,2,2, ,3,2,1,98,2,1,1,2, , ,1,1,3,3,4,7,7,4,5,98,1,5,1,1,2,1,6,3,1,1,3,3,3,2, , ,2, , , ,2,6,1,2,1,1,1,2,1,2,2,1,1,1,2,2,2,1,2,0,0,0,0,0,1,0,0, , , ,98,1,1,1,1,1,1,7,1,2,1,2,7,7,2,2,3, , , , , , ,1,3,2,2,1,2,0.64869208,0.56585642,0.96560339
