NFCSID,STATEQ,CENSUSDIV,CENSUSREG,A3,A3Ar_w,A3B,A4A_new_w,A5_2015,A6,A7,A7A,A11,A8,AM21,AM30,AM31,AM22,X3,X4,A9,A40,A10,A10A,A21_2015,A22_2015,A14,A41,J1,J2,J3,J4,J40,J5,J6,J8,J9,J10,J20,J32,J33_1,J33_40,J33_41,J41_1,J41_2,J41_3,J42_1,J42_2,J43,B1,B2,B4,B40,B41_1,B41_2,B31,B42,B43,B44,C1_2012,C2_2012,C3_2012,C4_2012,C5_2012,C10_2012,C11_2012,B14,C40,C41,D40,EA_1,E7,E8,E20,E15_2015,F1,F2_1,F2_2,F2_3,F2_4,F2_5,F2_6,F10,G1,G20,G30_1,G30_2,G30_3,G30_4,G30_5,G30_97,G30_98,G30_99,G33,G35,G22_2015,G40,G25_1,G25_2,G25_3,G25_4,G25_5,G38,G23,H1,H30_1,H30_2,H30_3,M1_1,M1_2,M4,M40,M20,M21_1,M21_2_2015,M21_3,M21_4,M41,M42,M6,M7,M8,M31,M9,M10,wgt_n2,wgt_d2,wgt_s3
2018011315,48,9,4,2,1,7,1,2,2,1,3,2,2,3, , , ,1, ,2,2, ,1,2, , ,2,4,4,3,3,2,2,2,1, ,2,3,3,7,6,4,5,5,4,2,5,4,1,1,1,3,3,3,2,3,3,2,2, , ,2, , , ,2,4,2,1,2, , , , ,7, , , , , , , ,1,1,0,0,0,0,0,1,0,0, , , , ,2,2,1,98,1,1,98,2,1,1,1,6,2,5,2,3, , , , , , ,98,2,4,2,2,98,0.58363315,0.48132798,0.99950088
2018011316,5,9,4,1,1,1,2,6,2,1,3,6,3,3, , , ,1, ,5,1, ,1, , , ,5,8,5,1,3,2,2, ,2, ,2,2,4,1,2,1,1,1,1,5,5,4,1,2,2,4,2,3,2,3,3,2,1, ,1,2,2,2,2,2,5,2,2,1,1,2,2,1,2,1,2,1,2,2,2,1,2,2,0,0,0,0,0,1,0,0, , , ,2,2,1,1,1,2,2,1,1,2,2,2,6,7,5,2,3, , , , , , ,1,1,1,2,2,2,1.80200199,4.30631953,0.66412159
2018011317,51,8,4,2,4,10,2,2,4,1,3,1,4,3, , , ,1, ,2,2, ,1,2, , ,1,3,6,3,3,1,2,2,2, ,2,4,3,6,7,6,3,4,3,2,3,3,1,1,2,7,3,1,3,3,2,3,1, ,1,2,1,2,2,2,5,2,2,2, , , , ,2,2,1,1,2,2,2,1,1,1,0,0,0,0,0,1,0,0, , , , ,1,5,1,1,1,1,7,1,1,1,2,7,4,3,2,98, , , , , , ,1,1,98,3,1,2,0.78151534,0.22329249,1.07517897
2018011318,5,9,4,1,1,1,2,4,2,4,3,6,2,3, , , ,1, ,5,2, ,1, ,1, ,3,7,9,3,3,3,2, ,2, ,2,2,3,5,5,5,1,2,3,3,3,3,1,1,2,6,2,3,2,1,2,3,2, , ,2, , , ,2,5,2,2,2, , , , ,1,1,1,1,2,2,2,1,1,2,1,0,0,0,0,0,0,0,2,2,2,1,3,2,2,2,1,2,5,1,2,2,2,7,7,5,1,2,1,1,1, ,3,5,1,3,2,3,98,98,3.87296663,6.94574701,1.10728353
2018011319,33,2,1,1,1,1,1,6,2,1,3,6,2,3, , , ,1, ,3,1, ,1, , , ,5,4,7,2,2,2,1, ,2, ,2,2,4,6,6,3,3,98,4,5,4,2,2,98, ,5, , ,2,2,98,98,98, , ,2, , , ,2,3,98,2,2, , , , ,2,2,2,2,1,2,2,1,98,98,0,1,0,0,0,0,0,0,2,3,2,1,3,2,1,1,4,2,5,2,1,98,2,6,3,4,2,3, , , , , , ,3,2,98,3,2,98,2.11875821,1.34455734,0.88061633
2018011320,48,9,4,1,2,2,2,2,2,4,3,6,2,3, , , ,1, ,3,1, ,1,2, , ,2,1,3,3,1,2,2, ,2, ,2,3,2,7,7,7,5,5,5,2,4,3,1,1,2,4,3,3,3,2,3,3,2, , ,2, , , ,2,6,2,2,2, , , , ,1,1,2,2,1,2,2,98,2,2,0,0,0,0,0,1,0,0, , , , ,1,1,1,1,1,2,2,2,2,2,2,4,5,3,2,3, , , , , , ,1,98,98,98,98,98,1.03244517,0.59070545,1.56710925
2018011321,11,5,3,2,4,10,1,5,4,4,3,5,1,3, , , ,1, ,8,2, ,2,2, , ,2,5,5,3,1,1,2, , ,2,2,4,2,4,4,4,3,3,3,2,3,1,1,2,2,4,2,1,3,3,2,3,2, , ,2, , , ,2,4,2,1,1,1,2,98,3,7, , , , , , , ,2,1,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,1,2,4,2,2,2,2,4,4,4,2,3, , , , , , ,98,98,98,98,98,98,1.0264198,1.32067506,0.99034168
2018011322,38,9,4,1,3,3,2,6,2,1,3,6,5,3, , , ,1, ,2,2, ,1, , , ,5,10,9,3,3,1,1, ,1, ,2,1,5,1,1,1,1,1,1,5,2,4,1,1,2,7,3,3,3,3,1,3,1, ,1,1,1,2,2,1,4,1,2,1,2,2, , ,1,1,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , ,2,1,1,1,1,1,2,1,1,2,2,2,7,7,7,1,2,1,1,1, ,3,7,1,3,2,4,1,2,0.72454799,0.21685945,0.95049661
2018011323,48,9,4,1,3,3,2,1,1,2,1,1,2,3, , ,3,1, ,2,98,2,1, , ,3,5,2,10,98,1,98,98,1,98, ,1,4,1,7,7,7,5,3,5,1,3,3,98,98, ,6, , ,3,3,3,98,2, , ,2, , , ,98,5,2,1,2, , , , ,7, , , , , , , ,2,98,0,0,0,0,0,1,0,0, , , , ,2,98,99,2,1,99,7,1,1,1,1,2,5,3,2,3, , , , , , ,1,98,1,99,1,1,1.40519019,0.50699567,1.04567146
2018011324,37,7,3,1,1,1,2,2,2,4,3,3,6,3, , , ,1, ,8,2, ,2,1,3, ,2,6,9,3,98,3,1,2, ,1,1,3,4,6,5,7,2,3,3,2,4,4,2,1, ,6,3,98,2,98,3,3,2, , ,2, , , ,1,3,2,1,2, , , , ,7, , , , , , , ,99,1,0,0,1,0,0,0,0,0,2,3,1, ,1,5,4,5,5,98,5,98,99,1,2,6,5,3,98,3, , , , , , ,3,3,2,4,2,1,2.05317481,0.5063457,1.41503942
2018011325,38,9,4,2,2,8,2,4,1,2,1,2,5,3, , ,3,1, ,8,2,2,2,2, ,1,3,6,7,1,2,1,2,2, ,2,2,1,3,5,5,5,2,3,3,3,3,3,1,1,2,7,2,3,3,3,3,3,1,2,1,1,1,2,2,2,5,2,2,2, , , , ,1,1,1,1,1,2,2,1,2,1,0,0,0,0,0,1,0,0, , , ,2,1,1,1,1,1,1,7,1,2,2,2,7,7,6,2,3, , , , , , ,2,3,2,98,1,98,0.53474827,0.29945779,0.83250527
2018011326,10,5,3,2,1,7,1,2,2,3,3,6,5,99, , , ,1, ,7,2, ,1,2, , ,2,6,6,98,98,98,98, ,2, ,2,99,3,4,4,4,3,99,98,3,4,3,1,2,1,4,3,3,3,3,3,2,98, , ,2, , , ,2,6,2,2,2, , , , ,7, , , , , , , ,2,2,0,0,0,0,0,1,0,0, , , , ,1,1,1,1,1,2,4,1,2,2,2,4,4,5,2,3, , , , , , ,98,98,98,98,98,98,1.01790953,2.76501072,0.89411817
2018011327,15,3,2,2,3,9,1,3,1,2,1,6,1,3, , ,3,1, ,3,2,3,1,2, ,3,2,10,8,3,1,1,2, ,1, ,1,4,1,7,5,7,5,5,5,3,3,4,1,1,1,7,3,3,1,1,1,3,98, , ,98, , , ,2,4,98,2,2, , , , ,2,2,1,2,1,1,1,2,1,1,1,0,0,0,0,0,0,0,1,4,1, ,3,4,3,3,5,1,7,1,2,1,1,7,7,7,1,2,1, ,1, ,2,7,1,1,1,1,2,1,1.31835347,0.64783245,0.87098758
2018011328,50,3,2,2,2,8,1,6,2,1,3,6,1,3, , , ,1, ,3,1, ,1, , , ,6,1,2,2,1,3,2, ,2, ,2,2,2,4,4,4,1,1,1,1,3,3,1,1,1,4,3,1,3,3,1,3,2, , ,2, , , ,2,5,2,2,2, , , , ,1,2,1,2,1,2,1,2,2,1,0,0,0,0,0,1,0,0, , , ,2,1,4,1,1,1,1,7,1,2,2,2,4,4,5,2,3, , , , , , ,98,98,98,98,98,98,1.03827007,0.55036671,0.95257225
2018011329,26,4,2,2,3,9,1,2,1,2,1,1,2,3, , ,3,1, ,4,2,4,1,2, ,2,2,8,8,1,2,1,98,2,2, ,2,3,3,6,4,4,2,3,3,2,2,2,1,2,98,4,98,98,2,2,2,2,2, , ,2, , , ,2,5,2,2,2, , , , ,7, , , , , , , ,2,2,0,0,0,0,0,1,0,0, , , , ,1,2,1,2,1,2,4,98,98,98,98,4,6,98,2,98, , , , , , ,2,2,1,1,98,98,0.4495647,1.75613017,0.85532963
2018011330,50,3,2,2,2,8,1,4,2,2,2,1,5,3, , , ,1, ,5,1,2,1, ,2,1,3,5,2,3,2,2,2,2,2, ,2,3,1,6,7,6,4,4,5,3,5,3,1,2,1,6,3,3,2,3,2,2,1,2,1,2,1,2,2,2,4,2,1,2, , , , ,2,2,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,2,1,2,2,1,1,1,1,1,1,6,1,2,2,2,6,3,5,2,3, , , , , , ,1,3,3,3,1,1,1.30742271,0.60853832,0.87182444
2018011331,43,6,3,2,2,8,1,2,3,4,3,3,1,3, , , ,1, ,1,1, ,1,2, , ,2,1,4,3,2,1,2,2,2, ,2,4,3,7,7,5,3,4,3,2,4,2,2,2, ,1, , ,3,2,3,2,2, , ,2, , , , ,6,2,1,2, , , , ,7, , , , , , , ,2,1,1,0,0,0,0,0,0,0,1,1,2, ,1,1,1,2,2,2,3,1,2,2,2,3,4,3,1,3, , , , , , ,1,98,98,98,1,98,0.68219581,1.24036209,0.87111678
2018011332,10,5,3,2,1,7,1,7,2,1,3,6,2,3, , , ,1, ,2,2, ,1, , , ,6,8,3,3,98,1,1, ,2, ,2,1,4,98,7,6,98,98,4,4,98,98,1,1,2,5,2,3,2,2,2,3,2, , ,1,98,2,2,2,6,2,2,2, , , , ,2,1,2,2,2,2,2,98,2,2,1,0,0,0,0,0,0,0,2,3,2,2,1,1,1,1,1,2,4,1,1,1,1,4,4,5,2,3, , , , , , ,1,98,98,98,1,98,0.80835753,2.51684077,0.92269329
2018011333,50,3,2,1,3,3,1,4,1,2,1,4,1,3, , ,3,1, ,4,2,6,1,2, ,98,3,5,5,3,3,98,2,98,2, ,2,98,98,4,4,4,3,3,3,3,3,98,1,2,2,4,3,3,2,3,3,3,2, , ,2, , , ,2,4,2,1,2, , , , ,2,1,1,1,1,1,1,2,2,2,0,0,0,0,0,1,0,0, , , ,2,1,1,1,2,2,2,4,1,2,2,2,4,4,5,2,3, , , , , , ,98,98,98,98,98,98,1.6272602,0.61596015,0.91903246
2018011334,38,9,4,2,3,9,2,3,1,2,1,6,4,99, , ,99,1, ,4,98,4,1,2, ,98,2,5,5,98,98,98,2, ,98, ,2,98,3,4,4,5,3,98,98,3,3,98,1,2,98,4,1,1,3,3,3,3,2, , ,2, , , ,2,5,2,1,2, , , , ,2,98,98,98,98,98,98,98,98,98,0,0,0,0,0,1,0,0, , , , ,98,98,98,98,98,1,4,1,98,98,98,3,4,4,2,3, , , , , , ,99,98,98,99,98,99,0.73917575,0.3125559,1.14663614
2018011335,5,9,4,2,6,12,2,3,4,4,3,5,3,3, , , ,1, ,8,2, ,2,2, , ,2,8,1,1,3,1,1, , ,2,2,1,98,4,4,1,2,2,98,4,1,4,1,1,2,7,3,3,2,2,3,3,2, , ,2, , , ,2,5,2,2,2, , , , ,2,2,1,1,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , , ,1,1,1,1,1,2,1,1,2,2,2,7,3,6,2,3, , , , , , ,1,98,4,98,98,98,3.22158792,6.97173736,1.18639222
2018011336,25,6,3,2,3,9,2,4,1,1,1,2,3,3, , ,3,1, ,4,1,1,1,2, ,1,3,10,10,3,2,2,1,2,2, ,1,2,1,5,6,3,5,5,4,3,2,3,1,2,2,5,3,3,2,2,1,1,2, , ,2, , , ,2,4,2,1,1,2,2, , ,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0, , , ,98,1,3,5,3,1,1,2,1,2,2,2,2,2,5,2,3, , , , , , ,98,1,2,2,98,98,0.77964387,0.573653,1.03172888
2018011337,36,3,2,1,1,1,1,6,1,1,1,1,6,1, , ,1,2,1,1,1,2,1, , ,1,5,10,10,2,2,1,1,1,2, ,1,2,5,7,7,6,5,4,5,5,4,4,1,1,1,7,3,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,6,1,2,1,2,1,2,1,1,1,1,1,1,0,0,0,0,0,1,4,1,1,5,98,4,5,5,1,7,1,1,2,1,6,7,7,1,1, , , , , , ,1,1,1,4,1,1,1.46217369,1.21178358,1.02946877
2018011338,36,3,2,1,1,1,1,1,2,1,3,6,1,3, , , ,1, ,7,2, ,1, , , ,1,1,1,3,1,1,2, ,2, ,2,4,98,7,7,7,5,5,5,1,5,1,2,2, ,1, , ,3,3,3,3,98, , ,98, , , , ,6,2,1,2, , , , ,7, , , , , , , ,2,2,0,0,0,0,0,1,0,0, , , , ,1,1,1,1,1,2,1,1,2,2,2,1,4,4,2,3, , , , , , ,1,1,98,3,1,98,1.84121564,1.33986436,0.99676963
2018011339,48,9,4,2,3,9,2,6,1,1,1,3,5,1, , ,2,2,1,4,2,1,1, , ,99,5,10,10,1,2,2,1,1,1, ,1,4,5,7,7,7,5,4,5,3,2,3,1,1,1,7,2,2,1,2,2,2,1,1,2,2, , , ,2,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,3,1,1,2,2,3,3,3,2,5,1,1,1,1,7,6,7,1,2,1,1,2,2,1,7,2,2,2,1,1,1,0.58706815,0.36909614,1.09063525
2018011340,5,9,4,2,2,8,2,3,2,1,3,6,1,1, , , ,2,1,1,1, ,1,1,1, ,3,2,1,1,1,1,1, ,1, ,1,1,5,5,98,7,1,1,1,5,3,3,1,1,1,6,2,2,1,2,1,3,1, ,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,1,2,1,0,0,0,0,0,1,0,0, , , , ,2,1,2,2,2,2,98,1,98,1,1,98,6,98,2,1, , , , , , ,2,2,1,2,1,1,1.30273739,7.05436868,1.32147809
2018011341,11,5,3,2,1,7,1,2,1,2,1,6,2,3, , ,3,1, ,2,1,2,1,2, ,1,2,10,10,1,2,2,1, ,1, ,1,2,2,4,4,7,3,2,5,3,3,3,2,2, ,5, , ,2,3,3,3,1,2,1,1,1,2,2, ,4,2,2,1,2,2, , ,2,1,1,2,1,1,1,2,2,1,0,0,0,0,0,1,0,0, , , , ,98,2,3,3,4,1,6,1,1,1,1,4,6,6,2,3, , , , , , ,3,2,1,4,1,1,1.01790953,1.32963691,0.93612567
2018011342,1,6,3,2,2,8,1,5,1,2,1,1,7,3, , ,3,1, ,2,2,2,1,2, ,3,2,7,4,3,3,2,2,2,2, ,2,2,3,5,4,4,3,2,3,3,3,3,1,1,2,6,3,2,3,3,2,3,1,2,98,2, , , ,2,6,2,2,1,2,1,2, ,2,2,1,1,2,2,2,1,1,2,0,1,0,0,0,0,0,0,1,1,2,2,1,1,1,1,1,2,7,1,2,1,2,4,5,5,1,2,1,2,2, ,2,5,1,98,2,2,1,2,0.68219581,0.90603508,0.90621875
2018011343,33,2,1,1,2,2,2,2,2,3,3,1,1,3, , , ,1, ,5,2, ,1, ,2, ,2,5,5,2,2,1,1,1,1, ,1,1,4,5,5,5,4,5,5,4,4,4,1,1,1,5,3,3,3,3,2,2,2, , ,1,1,1,1,1,4,1,1,1,1,1,1,3,4,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0, , , , ,4,3,4,4,4,1,5,1,1,1,1,5,5,5,1,2,1, ,1, ,3,5,3,3,3,3,1,1,5.16108802,1.90873965,1.16978016
2018011344,44,7,3,2,2,8,2,4,1,2,1,1,5,3, , ,3,1, ,4,2,2,1,2, ,2,5,8,6,1,3,1,1,1,2, ,2,1,5,1,1,1,2,1,3,5,4,4,1,2,2,6,3,3,3,2,3,3,1,2,1,2,1,2,2,98,1,2,2,1,1,2,2,1,2,1,2,2,2,2,2,1,1,2,0,0,0,0,0,1,0,0, , , ,2,1,1,1,1,1,2,1,1,2,2,2,7,7,7,2,3, , , , , , ,1,1,2,3,1,2,1.61586223,3.56583111,1.32567671
2018011345,44,7,3,2,4,10,2,4,4,1,3,2,4,3, , , ,1, ,1,1, ,1,2, , ,1,1,3,2,2,1,2,2,1, ,1,4,2,7,3,1,4,4,4,2,5,3,1,1,2,7,2,3,1,1,3,3,2, , ,2, , , ,2,5,2,2,1,2,2, , ,7, , , , , , , ,2,1,1,0,0,0,0,0,0,0,2,4,1,2,3,3,1,3,2,2,4,2,1,1,1,5,6,1,2,1, , , , , , ,1,1,4,3,1,2,2.50920381,2.97780947,1.11468539
2018011346,3,8,4,2,6,12,1,5,4,3,3,6,1,3, , , ,1, ,8,2, ,2,2, , ,2,2,1,1,3,1,2, , ,2,2,1,5,6,5,5,3,4,3,3,3,4,1,1,2,7,1,1,3,3,2,3,2, , ,2, , , ,1,6,2,1,2, , , , ,2,1,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , ,2,1,1,1,1,1,2,1,1,2,2,2,7,7,6,2,3, , , , , , ,1,3,2,2,1,2,0.46933436,2.20202132,1.00666933
2018011347,33,2,1,2,6,12,1,6,5,1,3,5,2,3, , , ,1, ,6,2, ,1, , , ,4,7,1,1,2,1,2, ,2, ,1,4,1,7,7,4,5,5,5,2,5,1,1,2,2,98,2,3,1,3,3,3,2, , ,2, , , ,2,6,2,2,2, , , , ,7, , , , , , , ,2,2,0,0,0,0,0,1,0,0, , , ,98,1,1,1,1,1,1,7,1,1,1,1,7,3,5,2,3, , , , , , ,1,98,98,98,98,98,1.76241277,1.25978309,0.85363795
2018011348,39,2,1,1,1,1,2,2,2,3,3,6,1,3, , , ,1, ,1,1, ,1,2, , ,2,5,6,1,3,1,2, ,1, ,2,3,98,2,3,2,3,3,3,3,3,3,1,1,2,4,3,3,2,2,1,2,2, , ,2, , , ,2,5,2,2,2, , , , ,7, , , , , , , ,2,2,0,0,0,0,0,1,0,0, , , , ,1,1,1,1,1,2,1,1,2,2,2,6,6,6,2,3, , , , , , ,1,98,1,2,1,2,3.02383763,1.0012535,1.25458307
2018011349,48,9,4,2,4,10,2,4,1,2,1,1,3,3, , ,3,1, ,3,2,2,1,2, ,2,98,3,2,3,2,1,2,2,2, ,2,2,1,6,7,7,3,1,2,3,4,2,1,1,98,4,1,1,3,3,3,3,98, , ,98, , , ,98,5,2,2,2, , , , ,1,2,1,1,98,98,2,98,2,1,1,1,0,0,0,0,0,0,2,4,1,1,1,1,1,1,1,1,7,1,2,2,2,4,3,3,2,3, , , , , , ,1,3,98,3,98,1,0.53927679,0.53301772,0.88841786
2018011350,3,8,4,2,1,7,1,4,4,4,3,2,1,3, , , ,1, ,7,1, ,1,2, , ,3,1,1,2,2,2,1,1,1, ,1,3,2,7,6,7,5,5,3,3,3,4,2,2, ,7, , ,3,2,2,3,2, , ,98, , , , ,6,1,1,2, , , , ,7, , , , , , , ,2,1,0,0,0,0,0,1,0,0, , , ,98,3,1,1,5,1,1,6,1,1,1,1,7,7,7,2,3, , , , , , ,3,1,2,3,1,2,0.40065216,2.09830342,0.96278557
2018011351,31,2,1,2,1,7,1,3,2,3,3,6,1,3, , , ,1, ,7,2, ,1,2, , ,2,4,4,1,2,2,2, ,2, ,1,4,98,98,6,1,2,5,98,3,4,2,1,2,2,4,3,1,2,3,3,3,2, , ,2, , , ,2,5,2,2,98, , , , ,7, , , , , , , ,2,2,0,0,0,0,0,1,0,0, , , , ,1,1,1,1,1,2,1,2,2,2,2,6,3,4,2,3, , , , , , ,1,98,98,98,1,98,1.89451679,0.62823908,0.86049199
2018011352,48,9,4,1,5,5,2,7,1,2,1,5,8,2,4,2,3,1, ,2,1,2,1, , ,1,6,7,6,2,3,1,98, ,1, ,2,2,5,2,4,4,2,3,3,3,3,3,1,1,2,7,2,2,3,3,3,2,1,3,2,98, , , ,1,6,1,2,1,1,2,2,1,2,2,1,1,1,1,1,2,2,2,0,0,0,0,0,1,0,0, , , ,2,1,1,1,3,2,2,5,1,1,1,1,6,6,5,2,3, , , , , , ,1,3,1,3,1,1,0.51514905,0.37784525,0.7827325
2018011353,14,3,2,2,1,7,2,4,2,2,2,4,3,3, , , ,1, ,2,1,2,1,2, ,1,1,6,3,2,2,2,2,1,1, ,2,4,98,7,7,7,3,3,3,1,4,3,1,1,2,7,2,3,3,2,1,3,1,1,1,2,1,2,2,2,5,2,1,2, , , , ,1,2,1,2,1,1,2,2,1,2,1,0,0,0,0,0,0,0,1,4,1,1,1,2,1,5,2,1,7,1,2,2,2,5,5,6,2,1, , , , , , ,1,98,98,98,1,98,2.52912445,1.47045466,1.16339974
2018011354,38,9,4,2,2,8,2,3,1,2,1,3,4,3, , ,3,1, ,2,2,2,1,2, ,98,2,5,6,1,3,1,2,2,2, ,2,2,98,5,4,4,2,2,2,3,2,4,1,2,1,4,2,1,3,1,3,3,2, , ,2, , , ,2,6,2,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,1,0,0,0,0,0,1,0,0, , , , ,1,1,1,1,1,2,1,1,2,2,2,4,4,6,2,3, , , , , , ,98,98,98,98,98,98,1.12887962,0.27412918,1.73850164
2018011355,51,8,4,1,3,3,1,1,2,1,3,6,1,3, , , ,1, ,7,2, ,1, , , ,1,1,1,2,1,3,2, ,2, ,1,4,1,7,5,5,5,5,5,1,4,2,2,2, ,4, , ,2,3,3,3,2, , ,2, , , , ,6,2,2,2, , , , ,7, , , , , , , ,2,2,0,0,0,0,0,1,0,0, , , , ,1,1,1,1,1,2,4,2,2,2,2,4,2,98,2,3, , , , , , ,1,3,98,3,1,98,0.49866451,0.24247566,2.25527122
2018011356,38,9,4,1,5,5,1,7,1,2,1,1,8,3, , ,3,1, ,2,2,4,1, , ,1,2,8,7,1,3,2,2,1,1, ,2,2,4,4,2,2,1,1,2,5,1,4,1,1,2,7,2,1,3,3,3,3,1,1,1,1,1,2,2,1,5,1,2,1,2,2, , ,3,2,2,1,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , ,2,1,1,2,1,1,2,1,1,2,2,2,7,7,6,1,2,2,1,1, ,3,7,1,3,2,2,1,2,0.56212186,0.19418304,0.88668232
2018011357,12,9,4,1,5,5,2,6,4,1,3,6,4,3, , , ,1, ,8,2, ,2, , , ,5,9,7,1,3,1,1, , ,1,2,1,5,1,1,1,1,1,1,5,2,4,1,1,2,6,2,1,3,3,3,3,1, ,1,1,2,2,2,2,6,2,2,1,2,2, , ,2,1,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , ,2,1,1,1,1,1,2,1,1,2,2,2,7,5,6,2,98, , , , , , ,1,2,2,3,1,2,1.72018983,0.18135583,0.72302927
2018011358,33,2,1,1,5,5,2,7,3,4,3,5,5,3, , , ,1, ,7,2, ,1, , , ,6,9,8,1,3,3,1, ,2, ,1,1,5,7,6,6,5,1,3,98,3,3,1,1,2,7,3,3,2,2,3,3,2, , ,1,2,2,2,1,6,1,2,1,2,2, , ,2,1,2,2,2,2,2,2,1,2,0,0,0,0,0,1,0,0, , , ,2,1,1,1,1,1,2,1,1,2,2,1,7,6,7,2,3, , , , , , ,1,3,2,3,1,2,2.06826819,1.20507403,0.80964714
2018011359,50,3,2,2,3,9,2,6,1,2,1,6,5,3, , ,3,1, ,3,1,2,1, , ,3,5,10,10,2,3,2,1, ,1, ,1,1,5,7,7,7,1,1,1,5,1,4,1,1,1,7,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,3,1,1,4,3,5,3,4,1,7,1,1,1,1,7,7,7,1,2,1,1,1, ,2,7,2,2,1,1,1,1,1.3151176,0.59132875,1.08142259
2018011360,48,9,4,2,2,8,2,7,2,1,3,2,1,3, , , ,1, ,7,2, ,1, , , ,6,1,5,1,2,2,2,2,2, ,2,4,1,7,4,5,3,3,5,2,5,2,1,1,2,6,2,3,1,3,2,3,2, , ,2, , , ,2,4,2,1,2, , , , ,7, , , , , , , ,2,2,1,0,0,0,0,0,0,0,1,98,1,2,1,1,1,1,1,1,7,1,2,2,2,4,4,3,2,3, , , , , , ,1,1,1,2,1,1,0.52529787,0.3005707,0.72224824
2018011361,10,5,3,2,1,7,2,6,2,2,2,6,7,3, , , ,1, ,2,2,2,1, , ,3,5,8,5,1,3,1,2, ,1, ,2,1,5,6,4,1,1,1,2,5,1,4,1,1,2,7,3,1,1,2,1,3,1,3,1,1,1,2,2,1,6,2,2,1,1,1,2,1,2,1,2,2,2,2,2,1,2,2,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,1,2,1,1,2,2,2,5,7,6,1,2,1,1,1, ,2,5,1,3,98,98,1,2,1.56371522,2.81532511,1.05519132
2018011362,23,3,2,2,2,8,1,4,2,4,3,6,1,3, , , ,1, ,3,1, ,1,1,2, ,3,5,10,2,2,2,1, ,2, ,2,1,4,5,6,5,5,5,5,4,5,3,1,2,1,4,3,3,3,3,3,3,2, , ,2, , , ,2,5,2,1,2, , , , ,7, , , , , , , ,2,1,1,0,0,0,0,0,0,0,2,2,2,2,1,1,2,1,1,2,4,1,2,2,2,4,4,5,2,3, , , , , , ,1,98,3,3,2,2,1.30742271,1.05157951,1.02323419
2018011363,22,1,1,2,3,9,1,3,1,2,1,1,1,3, , ,3,1, ,3,2,3,1,2, ,3,2,5,1,3,2,3,2,2,2, ,2,98,3,4,4,4,1,1,1,2,1,4,2,2, ,5, , ,3,3,3,3,2, , ,2, , , , ,6,2,1,2, , , , ,7, , , , , , , ,2,2,0,0,0,0,0,1,0,0, , , , ,1,1,1,1,1,2,1,1,2,2,2,5,5,3,2,3, , , , , , ,98,98,98,98,1,98,0.38140843,2.61451287,0.97394651
2018011364,23,3,2,1,2,2,1,2,2,2,2,2,1,3, , , ,1, ,6,2,6,1,2, ,1,2,6,2,98,2,1,2,2,98, ,2,4,2,1,2,2,5,3,5,3,5,4,1,2,2,7,3,3,3,3,3,3,2, , ,2, , , ,2,2,2,1,2, , , , ,2,2,1,1,2,2,2,98,1,2,0,0,0,0,0,0,1,0, , , , ,1,1,1,1,1,2,4,1,2,2,2,7,4,7,2,3, , , , , , ,98,98,98,98,98,98,1.84121564,1.14021254,1.11258698
2018011365,33,2,1,1,6,6,1,5,3,1,3,5,2,3, , , ,1, ,6,2, ,1,2, , ,4,1,10,2,1,1,2, ,2, ,2,4,4,7,1,4,4,5,5,2,5,1,1,1,2,1,3,3,3,1,3,3,2, , ,2, , , ,2,5,1,2,2, , , , ,2,2,1,1,1,2,1,2,2,1,0,0,0,0,0,1,0,0, , , ,2,1,1,1,1,1,1,7,1,1,2,2,1,1,3,2,3, , , , , , ,98,98,2,98,1,2,2.29795313,1.53780277,1.13628486
2018011366,50,3,2,2,4,10,1,2,4,2,2,5,2,3, , , ,1, ,2,2,2,1,2, ,1,2,1,2,2,2,1,2, ,2, ,1,4,2,4,5,6,5,1,3,3,5,3,2,2, ,7, , ,3,2,1,3,2, , ,2, , , , ,6,2,1,2, , , , ,7, , , , , , , ,2,1,0,0,0,0,0,1,0,0, , , , ,3,5,3,3,2,2,7,2,1,2,1,6,6,5,1,3, , , , , , ,2,3,2,2,98,98,1.31835347,0.57014499,0.88229609
