NFCSID,STATEQ,CENSUSDIV,CENSUSREG,A3,A3Ar_w,A3B,A4A_new_w,A5_2015,A6,A7,A7A,A11,A8,AM21,AM30,AM31,AM22,X3,X4,A9,A10,A10A,A21_2015,A22_2015,A14,J1,J2,J3,J4,J5,J6,J8,J9,J10,J20,J30,J31,J32,J33_1,J33_2,B1,B2,B4,B30,B31,C1_2012,C2_2012,C3_2012,C4_2012,C5_2012,C10_2012,C11_2012,B14,D20_1,D20_2,D20_3,D20_4,D20_5,D20_6,D20_7,EA_1,E4A_2015,E5_2015,E7,E8,E20,E15_2015,F1,F2_1,F2_2,F2_3,F2_4,F2_5,F2_6,F10,G1,G20,G30_1,G30_2,G30_3,G30_4,G30_5,G30_97,G30_98,G30_99,G31,G32,G33,G34,G35,G22_2015,G36,G25_1,G25_2,G25_4,G25_5,G37_1,G37_2,G37_3,G37_98,G37_99,G38,G23,H1,H30_1,H30_2,H30_3,M1_1,M1_2,M4,M20,M21_1,M21_2_2015,M21_3,M21_4,M30,M6,M7,M8,M31,M9,M10,wgt_n2,wgt_d2,wgt_s3
2015013462,24,4,2,2,4,10,1,5,1,2,1,2,4,3, , ,3,1, ,2,2,1,2, ,1,7,5,1,2,1,1,1, ,2,3,3,1,3,5,7,1,1,2,1,2,1,1,2,2, , , ,2,1,2,2,2,2,1,2,1,1, ,1,2,2,3,2,2,1,1,2,2,1,1,1,2,0,0,0,0,0,1,0,0, , , , , , , ,1,2,3,1,1,0,1,0,0,2,4,1,2,2,2,7,6,5,3, , , , ,1,98,98,2,98,1,2,0.52529195,1.82150123,0.99349744
2015013463,36,3,2,1,2,2,1,6,1,2,1,1,5,3, , ,3,1, ,2,4,1, , ,1,5,7,3,3,2,2,2, ,2,4,2,2,5,6,5,1,1,2,3,3,1,1,1,2,1,2,2,2,1,2,2,2,2,2,1,2, , , , , , ,2,2,1,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,5,1,2,2,2,5,5,5,3, , , , ,1,1,3,98,3,1,98,1.31543862,1.39110120,0.92837520
2015013464,33,2,1,2,3,9,2,6,2,1,3,6,8,3, , , ,1, ,2, ,1, , , ,7,7,3,3,1, ,1, ,2,1,5,1,4,5,6,1,1,2,3,2,1, ,1,1,1,2,2,1,1,2,2,2,2,2,2,2, , , , , , ,2,1,2,2,2,2,2,1,2,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,1,1,2,2,2,6,6,6,1, , , , ,1,1,3,2,3,1,2,0.95758767,0.88030649,0.87407360
2015013465,4,7,3,2,2,8,1,4,1,2,1,3,4,3, , ,3,1, ,4,2,1,2, ,1,7,4,1,3,2,2,2, ,2,1,2,2,4,7,7,1,2,2,3,3,1,3,1,2,1,2,2,2,1,2,2,2,2,2,2,2, , , , , , ,7, , , , , , , ,2,1,0,0,0,0,0,1,0,0, , , , , , , ,2,2,1,2, , , , , ,2,2,1,2,2,2,7,7,5,2,1,1,2, ,2,1,98,98,4,1,98,1.37890285,0.43068792,0.89522003
2015013466,24,4,2,2,6,12,1,4,5,1,3,6,4,3, , , ,1, ,8, ,2,2, , ,6,2,3,2,2, , ,2,2,3,98,1,5,5,5,1,1,2,3,3,1, ,2,2, , , ,2,2,1,2,1,2,2,2,1,1, ,2,2, , ,2,1,2,2,2,2,2,98,1,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,5,1,2,2,2,5,3,4,3, , , , ,2,1,3,98,2,1,98,0.56110124,1.94852501,1.04069264
2015013467,46,1,1,1,5,5,1,5,1,2,1,5,7,3, , ,3,1, ,2,2,1,2, ,3,9,6,1,3,1, ,1, ,2,1,3,1,5,5,6,1,1,2,3,3,1,3,1,1,2,2,2,2,1,2,2,2,2,2,2,1,1, ,2,2, , ,2,1,2,2,2,2,2,2,1,2,0,0,1,0,0,0,0,0,1,2,1, ,1,2,98,1,1,1,1, , , , , ,2,1,1,1,1,1,7,7,6,3, , , , ,1,1,3,1,2,1,98,0.51189034,0.30233374,1.42395392
2015013468,18,6,3,2,3,9,1,2,1,2,1,3,4,3, , ,3,1, ,4,2,1,2, ,1,2,2,1,2,2,2,2, ,2,4,1,2,2,7,6,1,2,2,3,3,98, , ,2, , , ,2,1,98,2,98,2,2,1,1,2,-98,1,2,98,3,7, , , , , , , ,1,1,0,0,0,0,0,1,0,0, , , , , , , ,2,1,1,3, , , , , ,1,7,1,2,1,1,6,6,5,3, , , , ,98,1,1,98,3,1,98,0.81368267,0.95171368,1.05228513
2015013469,30,1,1,2,5,11,1,4,2,1,3,6,2,3, , , ,1, ,8, ,2,2, , ,4,1,1,1,1, , ,1,1,2,4,1,5,4,7,1,1,2,3,3,1, ,2,2, , , ,2,2,2,2,2,1,2,2,1,1, ,1,2,2,1,1,1,2,2,2,2,2,1,2,1,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,1,1,2,1,1,7,4,5,3, , , , ,98,3,98,2,98,1,98,0.48167297,0.60349722,1.06852896
2015013470,7,1,1,2,5,11,1,3,4,3,3,1,2,99, , , ,1, ,3, ,1,2, , ,3,1,2,2,2,99,99, ,99,4,3,1,4,6,6,1,2,2,3,3,99, , ,99, , , ,99,1,2,2,2,2,2,2,2, , , , , , ,3,2,1,1,2,2,1,98,2,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,7,99,99,99,1,6,6,5,98, , , , ,2,1,3,98,3,98,98,0.48167297,1.57497947,1.11027662
2015013471,22,1,1,2,5,11,1,2,2,2,2,6,7,3, , , ,1, ,2,2,1,2, ,1,8,2,3,2,1, ,1, ,2,2,1,1,5,5,6,1,1,98,3,3,1,3,1,1,1,98,1,1,1,2,1,2,2,2,1,1,16,3,1,2,2,1,6,2,1,2,2,2,2,2,2,1,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,4,1,2,2,2,5,3,4,3, , , , ,1,1,2,1,4,1,2,0.48167297,2.99754010,1.07292348
2015013472,14,3,2,1,3,3,1,2,1,2,1,3,6,3, , ,3,1, ,2,3,1,2, ,1,5,7,1,3,1,2,1, ,2,1,4,1,3,6,5,1,1,2,3,3,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2, , , , , , ,2,2,1,1,2,2,2,2,1,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,5,1,1,2,2,5,6,5,3, , , , ,1,1,2,1,3,1,2,0.93264634,0.88816454,1.04438827
2015013473,22,1,1,2,5,11,1,2,5,1,3,6,4,3, , , ,1, ,2, ,1,2, , ,6,4,1,3,1, ,1, ,2,1,98,2,5,7,6,1,1,2,3,3,1, ,1,2,1,2,2,2,1,1,2,2,2,2,2,2, , , , , , ,3,2,1,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,1,1,2,2,2,7,1,1,98, , , , ,1,1,98,98,98,98,98,0.48167297,2.99754010,1.07292348
2015013474,5,9,4,2,5,11,1,7,4,1,3,6,7,3, , , ,1, ,2, ,1, , , ,4,6,3,2,2, ,1, ,2,2,3,1,3,5,4,1,1,1,3,3,2, , ,1,2,2,2,2,1,1,2,1,2,2,2,1,1, ,1,1,2,3,1,2,1,1,2,2,2,1,1,1,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,1,7,1,2,2,2,7,7,6,2,2,1,2, ,1,1,3,4,2,1,2,0.61708377,1.66616893,0.77868374
2015013475,50,3,2,1,5,5,1,3,4,1,3,5,2,3, , , ,1, ,3, ,1,2, , ,1,1,2,1,2, ,1, ,1,4,2,1,2,7,1,1,1,2,3,3,2, , ,2, , , ,2,1,2,2,1,2,2,2,2, , , , , , ,7, , , , , , , ,1,2,0,0,1,0,0,0,0,0,1,2,2, ,98,1,99,1,1,1,1, , , , , ,2,5,1,1,2,1,7,7,7,3, , , , ,1,3,1,2,2,1,2,1.76794207,0.82601203,1.10987910
2015013476,44,7,3,2,5,11,1,5,1,2,1,5,5,3, , ,2,1, ,2,8,1,2, ,2,4,3,2,2,2, ,1, ,2,3,3,1,5,5,5,1,1,2,3,3,1,3,1,2,2,2,2,1,1,1,2,2,1,2,2,1,1, ,1,1,2,1,2,2,1,1,2,2,2,2,1,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,7,1,2,2,2,6,3,4,98, , , , ,2,1,3,98,98,98,2,0.79248814,2.04660427,1.25229104
2015013477,22,1,1,2,2,8,1,4,1,2,1,4,2,3, , ,3,1, ,5,7,1, ,1,1,1,2,3,1,2,2,2, ,1,4,3,2,1,6,6,1,2,2,2,2,2, , ,2, , , ,2,1,2,2,2,1,2,1,2, , , , , , ,7, , , , , , , ,2,2,1,0,0,0,0,0,0,0,1,98,98,3,1,98,1,1,1,3,2,0,0,1,0,0,2,5,1,2,2,2,6,6,4,98, , , , ,2,1,1,4,3,1,98,0.41561979,2.68101890,1.04738735
2015013478,24,4,2,2,6,12,1,6,4,1,3,6,2,3, , , ,1, ,8, ,2, , , ,5,1,3,2,2, , ,2,2,98,1,1,98,5,4,1,1,2,98,3,2, , ,1,2,2,2,2,2,2,2,1,2,2,2,2, , , , , , ,2,1,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,3,1,2,2,2,6,4,4,98, , , , ,1,1,3,98,3,1,98,0.37174701,1.43431715,0.93736392
2015013479,50,3,2,2,6,12,1,2,1,2,1,5,5,3, , ,3,1, ,4,8,3,2, ,3,9,2,1,3,1, , ,1,2,1,5,1,5,3,6,1,1,2,3,3,2, , ,2, , , ,2,2,1,2,1,2,2,2,1,1, ,2,2, , ,2,1,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,1,1,2,2,2,7,6,6,3, , , , ,1,2,3,98,98,98,2,1.66357877,0.78676584,1.03882173
2015013480,47,5,3,1,2,2,1,6,2,2,2,6,7,3, , , ,1, ,2,2,1, , ,1,7,3,3,2,1, ,2, ,2,1,3,1,4,6,5,1,1,2,3,2,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2, , , , , , ,2,1,2,2,2,2,2,2,1,2,0,1,0,0,0,0,0,0,98,98,98, ,98,98,98,1,1,1,1, , , , , ,2,3,1,2,2,2,7,7,6,98, , , , ,1,1,3,98,2,1,2,1.00475899,1.01461858,0.88839016
2015013481,21,5,3,2,4,10,1,2,2,1,3,5,1,3, , , ,1, ,7, ,1,2, , ,1,4,2,1,2, ,2, ,2,1,98,1,4,7,4,1,1,2,3,3,2, , ,2, , , ,2,2,2,1,2,2,2,2,2, , , , , , ,3,2,1,2,2,2,2,2,2,1,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,7,1,2,2,2,5,5,5,3, , , , ,2,2,3,98,98,1,98,1.18958148,0.94790490,1.14730920
2015013482,33,2,1,1,2,2,1,5,2,2,2,6,5,3, , , ,1, ,2,2,1,2, ,1,10,10,1,3,1, ,1, ,2,1,2,1,5,7,7,1,1,2,3,3,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,1,16,40,1,2,1,1,1,1,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,1,1,2,2,2,7,6,7,3, , , , ,1,1,2,2,1,1,2,1.48010413,1.12264014,1.23425332
2015013483,11,5,3,1,1,1,2,3,2,4,3,5,1,3, , , ,1, ,5, ,1, ,1, ,6,9,2,1,2, ,98, ,2,3,2,1,4,7,5,1,1,2,2,1,98, , ,2, , , ,1,1,2,98,1,2,1,1,2, , , , , , ,2,1,2,98,2,1,1,1,2,1,1,0,0,0,0,0,0,0,1,2,1,1,1,1,2,2,3,3,3,0,1,0,0,0,2,6,1,2,1,1,7,5,6,2,1, ,98, ,1,2,3,1,98,1,2,1.88797873,1.79930477,1.15196507
2015013484,21,5,3,2,5,11,1,2,1,2,1,2,7,3, , ,3,1, ,8,2,2,2, ,1,7,8,3,3,1,2, ,1,2,1,5,2,5,7,7,1,1,2,3,3,1,3,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1, ,2,2, , ,3,1,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,1,1,2,2,2,7,7,6,3, , , , ,2,1,3,2,3,1,2,1.27067558,0.98000189,1.19199606
2015013485,31,2,1,1,6,6,1,6,4,2,2,5,5,3, , , ,1, ,2,4,1, , ,1,9,6,1,3,1, ,1, ,2,1,3,1,5,1,6,1,1,2,3,3,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,1,1, ,2,2, , ,2,1,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,1,1,2,2,2,7,7,6,3, , , , ,2,1,3,2,2,1,2,1.67027671,0.71871130,0.83618065
2015013486,12,9,4,2,6,12,2,2,1,2,1,6,3,3, , ,3,1, ,8,8,2,2, ,3,99,99,98,99,99, , ,98,99,98,98,99,5,98,98,1,1,99,99,99,1,1,99,2, , , ,99,2,2,2,1,2,2,2,1,1, ,2,2, , ,2,1,2,2,2,2,2,98,2,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,1,1,2,2,2,98,98,98,3, , , , ,2,98,98,98,98,98,98,2.33481545,0.23863596,1.44588994
2015013487,36,3,2,1,6,6,1,4,1,2,1,6,5,1, , ,3,2,1,8,8,2,2, ,1,5,4,1,3,1, , ,1,1,1,4,1,5,7,7,1,1,2,3,3,1,3,1,1,1,2,2,1,2,1,2,1,2,2,2,1,6,60,2,2, , ,1,1,2,2,2,2,2,2,1,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,1,1,2,2,2,7,7,6,3, , , , ,1,1,3,2,3,1,2,1.76794207,1.66628408,1.13640220
2015013488,10,5,3,2,3,9,2,6,1,2,1,1,8,3, , ,3,1, ,2,2,1, , ,1,9,7,2,2,2,1,1, ,2,2,2,1,3,7,7,1,1,1,2,3,1,1,1,1,1,1,2,1,1,2,2,1,2,1,1,1,17,20,1,2,1,3,2,2,1,2,2,1,2,1,1,1,1,0,0,0,0,0,0,0,2,1,1,1,2,1,1,3,3,4,4,1,0,0,0,0,1,6,1,2,1,1,6,7,6,1, , , , ,1,1,1,2,3,1,1,1.34622706,2.12583059,0.73643021
2015013489,20,1,1,1,5,5,1,5,1,2,1,5,8,3, , ,3,1, ,2,8,1,2, ,3,10,6,3,3,1, ,1, ,2,1,4,1,5,3,7,1,1,2,3,3,1,3,1,1,1,2,2,1,1,2,2,2,2,2,2,1,1, ,2,2, , ,2,1,2,2,2,2,2,1,2,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,1,1,2,2,2,6,6,6,2,2,1,1, ,1,1,3,2,2,1,2,0.51189034,0.62010903,1.22658364
2015013490,5,9,4,1,5,5,2,6,1,2,1,1,8,3, , ,3,1, ,8,2,2, , ,3,8,1,3,2,98,1, ,1,2,1,3,2,5,4,2,1,1,2,3,3,1,3,1,1,1,2,2,1,1,1,2,2,2,2,2,1,1, ,1,1,2,1,2,1,2,2,2,2,2,2,1,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,6,1,2,2,2,7,1,5,3, , , , ,2,1,3,2,2,1,2,0.81641363,1.98991729,0.89442115
2015013491,5,9,4,1,6,6,1,6,1,2,1,6,7,2,4,1,3,1, ,1,8,1, , ,1,10,7,1,3,1, ,1, ,2,1,5,1,5,1,7,1,1,1,3,3,1,3,2,1,2,2,2,1,1,1,1,1,2,1,2,1,1, ,2,2, , ,2,1,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,1,1,2,2,2,7,6,6,3, , , , ,2,1,3,98,2,1,2,0.65579604,1.75812527,0.79616715
2015013492,33,2,1,1,1,1,2,4,2,1,3,6,1,1, , , ,2,1,3, ,1,2, , ,8,7,3,3,2, ,2, ,2,3,98,1,3,4,4,1,1,1,3,98,2, , ,98, , , ,2,98,98,98,98,98,98,98,1,98, ,1,98,98,98,98, , , , , , , ,2,2,1,0,0,0,0,0,0,0,3,98,2,2,3,2,98,98,98,98,98, , , , , ,2,4,2,98,98,98,4,4,6,98, , , , ,2,98,98,3,98,98,98,2.52819246,0.98375598,1.04552079
2015013493,5,9,4,2,6,12,2,7,1,2,1,5,7,3, , ,2,1, ,1,2,1, , ,3,5,5,3,3,1, ,1, ,1,2,4,1,5,5,6,1,1,2,3,3,1,2,2,1,1,2,2,2,1,1,2,2,2,2,2,1,1, ,2,1,2, ,2,1,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,4,1,2,2,2,6,6,5,3, , , , ,1,1,2,2,3,1,2,0.76821996,1.88583739,0.87478013
2015013494,24,4,2,2,5,11,1,4,1,2,1,6,5,3, , ,3,1, ,2,2,1,2, ,2,98,98,1,3,1, ,98, ,98,1,3,2,5,5,2,1,1,2,3,3,1,1,98,98, , , ,98,1,2,2,99,2,2,2,1,7,20,1,2,98,1,1,1,2,2,2,2,2,98,2,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,1,1,2,2,2,5,5,3,98, , , , ,1,1,98,2,3,98,2,0.56110124,1.94852501,1.04069264
2015013495,50,3,2,1,4,4,1,7,1,2,1,2,6,3, , ,3,1, ,2,4,1, , ,1,6,8,1,3,1,2,1, ,2,1,3,2,5,5,6,1,1,2,3,3,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,1,11,30,1,2,2,1,2,1,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,1,1,2,2,1,6,5,5,3, , , , ,1,1,3,2,2,1,2,1.20399897,0.61904538,0.82999482
2015013496,33,2,1,2,4,10,1,6,1,2,1,2,8,3, , ,3,1, ,3,2,1, , ,3,7,5,3,3,1,1,1, ,2,1,3,1,5,4,7,1,1,2,3,3,1,3,1,1,1,2,2,1,1,2,2,2,2,2,2,1,1, ,1,1,2,1,2,2,1,1,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,4,1,2,2,2,7,7,6,3, , , , ,1,1,3,2,2,1,2,0.76919612,0.80734124,0.80593611
2015013497,22,1,1,2,4,10,1,4,1,2,1,5,8,3, , ,3,1, ,2,2,1,2, ,3,6,3,1,3,1, ,1, ,2,1,1,1,3,3,6,1,1,2,3,3,1,2,1,1,1,2,2,2,1,2,2,2,2,2,2,1,1, ,1,2,2,1,3,2,1,2,2,2,2,2,1,2,0,0,1,0,0,0,0,0,2,2,98, ,2,2,2,1,1,1,1, , , , , ,2,5,1,2,2,2,6,6,5,3, , , , ,1,1,3,98,3,1,98,0.45093276,2.73944153,1.04481111
2015013498,5,9,4,2,1,7,2,6,2,3,3,6,5,3, , , ,1, ,5, ,1, , , ,8,6,1,3,2, ,1, ,2,2,3,1,5,3,6,1,1,2,98,3,1, ,1,2,1,2,2,1,1,2,2,2,2,2,2,1,7,-98,2,2, , ,2,1,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,2,1,2,2,2,6,7,6,1, , , , ,2,1,3,1,2,1,2,0.66287178,1.81045263,0.84138554
2015013499,5,9,4,2,5,11,1,2,5,1,3,5,2,3, , , ,1, ,8, ,2,2, , ,7,4,1,3,2, , ,2,2,4,98,2,4,6,4,1,1,2,3,3,2, , ,2, , , ,2,2,2,2,1,2,2,2,2, , , , , , ,2,2,1,1,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,4,1,2,2,2,6,6,6,3, , , , ,1,1,2,98,98,1,98,0.93140350,2.76950010,1.34305755
2015013500,21,5,3,2,1,7,2,2,2,4,3,6,3,3, , , ,1, ,7, ,1,2, , ,1,3,1,2,2, ,2, ,2,4,98,1,5,1,7,2,1, ,3,3,2, , ,2, , , ,2,1,2,2,2,2,2,2,2, , , , , , ,7, , , , , , , ,2,2,0,0,0,0,1,0,0,0,98,2,2, ,98,2,98,1,1,1,1, , , , , ,2,5,2,2,2,1,4,2,4,3, , , , ,1,98,98,98,98,98,98,1.25034818,0.94143380,1.05366371
2015013501,24,4,2,2,4,10,1,4,2,4,3,5,1,3, , , ,1, ,6, ,1,2, , ,5,5,3,2,2, ,1, ,2,2,1,1,3,4,4,2,1, ,3,3,2, , ,2, , , ,2,1,2,2,2,1,2,2,2, , , , , , ,7, , , , , , , ,2,98,1,0,0,0,0,0,0,0,1,2,2,2,2,1,2,1,1,1,1, , , , , ,1,5,1,1,2,1,5,2,5,98, , , , ,1,1,3,98,3,1,2,0.52529195,1.82150123,0.99349744
2015013502,18,6,3,2,1,7,1,4,2,3,3,6,1,3, , , ,1, ,3, ,1,1,2, ,6,4,1,3,2, ,2, ,2,3,5,1,98,5,5,1,1,2,3,3,98, , ,98, , , ,98,98,98,98,98,98,98,98,2, , , , , , ,7, , , , , , , ,2,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,1,1,2,2,2,5,6,4,3, , , , ,1,1,1,98,98,1,98,0.74996241,0.93210438,1.03871036
2015013503,41,5,3,2,5,11,1,2,1,2,1,1,4,3, , ,3,1, ,2,2,1,2, ,3,7,1,3,2,1,1,1, ,2,1,2,1,5,7,7,1,1,2,3,3,1,3,1,1,1,2,2,2,1,2,2,2,2,2,2,1,1, ,1,2,2,1,2,1,2,2,2,2,2,1,1,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,1,1,1,1,1,7,7,5,3, , , , ,1,2,3,1,1,1,1,1.27067558,0.76474322,1.06713100
2015013504,20,1,1,1,5,5,1,4,1,2,1,1,6,3, , ,2,1, ,4,2,1,2, ,3,7,7,1,3,1,2,1, ,2,1,5,1,5,6,7,1,1,2,3,2,1,2,1,1,1,2,2,1,1,2,2,2,2,2,2,1,1, ,1,2,2,1,2,2,1,2,2,2,2,2,1,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,3,1,2,2,2,6,5,4,3, , , , ,2,1,1,98,3,1,98,0.51189034,0.62010903,1.22658364
2015013505,11,5,3,2,3,9,2,6,4,2,2,6,1,3, , , ,1, ,1,7,1, , ,1,3,1,1,1,2, ,2, ,1,4,1,1,2,6,6,2,2, ,1,3,2, , ,2, , , , ,2,2,2,2,2,2,2,2, , , , , , ,7, , , , , , , ,2,2,1,0,0,0,0,0,0,0,3,2,1,1,4,1,2,2,1,4,1,0,0,1,0,0,1,7,2,1,1,1,4,5,5,2,1,1,2, ,1,98,3,1,98,1,1,0.89877875,1.03524141,0.72559869
2015013506,7,1,1,1,3,3,2,5,1,2,1,4,6,3, , ,3,1, ,2,4,1,2, ,1,8,5,1,3,1,1,1, ,2,1,4,1,5,1,7,1,1,2,3,2,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,1,13,0,2,2, , ,2,1,2,2,2,2,2,1,2,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,1,1,2,2,2,7,7,6,2,1,1,1, ,1,1,3,2,2,2,2,0.60004124,1.56109465,1.01415154
2015013507,47,5,3,2,4,10,1,4,1,2,1,1,2,3, , ,2,1, ,4,6,1,2, ,3,6,4,3,2,2,2,2, ,2,4,4,1,4,7,4,1,2,2,3,3,2, , ,2, , , ,2,2,2,2,1,2,2,2,1,12,10,2,2, , ,7, , , , , , , ,2,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,4,2,2,2,2,7,7,7,3, , , , ,1,1,2,2,3,1,2,1.18958148,1.28924971,1.05272757
2015013508,14,3,2,2,5,11,2,7,1,2,1,1,8,3, , ,3,1, ,4,2,1, , ,2,7,6,1,98,1,1,1, ,2,1,3,1,5,6,6,1,1,2,3,3,1,2,98,1,1,2,2,1,1,2,2,2,1,1,2,1,1, ,1,2,2,1,1,2,1,1,1,2,2,2,2,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,2,1,2,1,1,4,5,5,3, , , , ,1,3,98,98,98,1,2,0.96619465,0.67239688,0.80984727
2015013509,5,9,4,2,2,8,1,5,1,2,1,2,5,3, , ,3,1, ,2,2,1,2, ,1,4,8,1,2,2,2,2, ,2,4,98,1,1,7,1,1,2,2,1,98,98, , ,2, , , ,2,1,2,2,2,2,2,2,1,12,-98,1,2,2,2,1,2,1,1,1,2,2,2,2,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,1,1,2,2,2,7,4,6,3, , , , ,1,1,1,3,2,1,2,0.80367750,2.65879168,1.29178654
2015013510,10,5,3,2,2,8,2,5,2,2,2,3,3,3, , , ,1, ,3,3,1,1,3,2,9,8,2,2,1,1,1, ,1,4,3,1,4,7,6,1,1,1,2,2,1,3,1,1,1,1,1,1,1,2,2,98,99,98,2,1,13,40,1,1,2,3,4,1,2,98,2,2,1,1,2,1,1,0,0,0,0,0,0,0,2,1,1,1,4,1,2,1,3,2,4,0,1,1,0,0,1,6,1,2,98,1,6,3,6,2,1,2,98, ,1,2,2,2,2,1,1,1.87282194,3.05602805,1.08253262
2015013511,47,5,3,2,5,11,1,4,5,1,3,6,6,3, , , ,1, ,2, ,1,2, , ,9,8,3,2,1, ,2, ,2,1,4,2,4,5,3,1,1,2,3,98,1, ,2,1,1,2,2,2,1,1,2,2,2,2,2,1,1, ,1,2,2,1,3,2,1,2,1,2,2,2,1,1,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,1,6,1,2,2,2,4,2,5,3, , , , ,1,1,1,98,98,1,98,1.27067558,1.33290497,1.09396834
2015013512,6,8,4,2,2,8,1,6,2,4,3,6,4,3, , , ,1, ,2, ,1, , , ,6,7,2,3,98, ,98, ,2,3,1,1,4,7,6,1,1,2,3,2,2, , ,1,2,2,2,1,1,2,2,2,2,2,2,2, , , , , , ,3,2,1,2,2,2,2,1,2,2,1,0,0,0,0,0,0,0,1,2,1,1,2,98,98,1,1,1,1, , , , , ,2,6,1,2,2,2,6,6,5,98, , , , ,1,1,98,2,98,1,2,0.28872051,1.10337352,0.73158137
2015013513,5,9,4,2,5,11,2,6,4,1,3,5,5,3, , , ,1, ,2, ,1, , , ,7,4,2,2,1, ,1, ,1,1,4,1,5,4,7,1,1,2,3,3,1, ,1,1,1,2,2,1,1,2,2,2,2,2,2,1,1, ,1,2,2,1,1,2,1,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,5,1,2,1,1,6,6,6,98, , , , ,1,1,3,98,4,1,98,1.05405188,1.41317825,0.61494343
2015013514,18,6,3,1,5,5,1,2,5,1,3,2,3,3, , , ,1, ,2, ,1,2, , ,4,7,3,2,2,2,1, ,2,3,5,1,3,6,5,1,1,2,2,3,1, ,2,2, , , ,2,1,2,2,2,2,2,2,2, , , , , , ,7, , , , , , , ,2,2,0,0,0,0,0,1,0,0, , , , , , , ,1,3,3,1,1,1,1,0,0,2,5,1,2,2,2,6,6,5,3, , , , ,1,1,3,98,98,1,2,0.92367717,1.17357266,1.23456023
