NFCSID,STATEQ,CENSUSDIV,CENSUSREG,A3,A3Ar_w,A3B,A4A_new_w,A5_2015,A6,A7,A7A,A11,A8,AM21,AM30,AM31,AM22,X3,X4,A9,A10,A10A,A21_2015,A22_2015,A14,J1,J2,J3,J4,J5,J6,J8,J9,J10,J20,J30,J31,J32,J33_1,J33_2,B1,B2,B4,B30,B31,C1_2012,C2_2012,C3_2012,C4_2012,C5_2012,C10_2012,C11_2012,B14,D20_1,D20_2,D20_3,D20_4,D20_5,D20_6,D20_7,EA_1,E4A_2015,E5_2015,E7,E8,E20,E15_2015,F1,F2_1,F2_2,F2_3,F2_4,F2_5,F2_6,F10,G1,G20,G30_1,G30_2,G30_3,G30_4,G30_5,G30_97,G30_98,G30_99,G31,G32,G33,G34,G35,G22_2015,G36,G25_1,G25_2,G25_4,G25_5,G37_1,G37_2,G37_3,G37_98,G37_99,G38,G23,H1,H30_1,H30_2,H30_3,M1_1,M1_2,M4,M20,M21_1,M21_2_2015,M21_3,M21_4,M30,M6,M7,M8,M31,M9,M10,wgt_n2,wgt_d2,wgt_s3
2015010011,48,9,4,1,5,5,1,4,2,1,3,6,1,3, , , ,1, ,6, ,1,2, , ,5,1,3,3,2, ,2, ,2,4,1,1,1,4,2,1,1,1,1,3,2, , ,2, , , ,2,2,2,2,2,1,2,2,2, , , , , , ,7, , , , , , , ,2,2,1,0,0,0,0,0,0,0,1,98,2,2,98,1,2,1,98,1,1, , , , , ,1,6,1,2,2,2,6,7,4,98, , , , ,98,1,3,98,2,1,98,1.99313062,1.01634477,1.16873709
2015010012,10,5,3,2,3,9,2,7,4,1,3,6,5,3, , , ,1, ,2, ,1, , , ,7,10,1,3,2, ,2, ,2,1,1,1,5,4,5,1,1,1,3,1,1, ,1,2,1,1,1,2,1,2,2,2,2,2,1,1,16,5,1,2,2,1,3,2,1,1,2,2,2,1,1,2,1,0,0,0,0,0,0,0,1,1,2,1,4,1,2,1,1,4,1,0,1,0,0,0,1,7,1,2,2,2,7,7,7,3, , , , ,1,1,3,1,3,1,2,0.89877875,2.16336034,0.70378597
2015010013,7,1,1,1,5,5,1,3,2,1,3,6,1,2,4,2, ,1, ,6, ,1,2, , ,1,1,1,1,2, ,2, ,2,4,1,2,2,1,1,2,2, ,3,3,2, , ,2, , , , ,2,2,2,2,1,2,2,2, , , , , , ,7, , , , , , , ,2,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,7,1,2,2,2,6,5,5,3, , , , ,1,1,1,98,4,1,98,0.51189034,1.59745956,1.02407869
2015010014,44,7,3,2,5,11,1,7,1,2,1,1,6,2,2,1,2,1, ,2,2,1, , ,1,9,9,2,3,1,1,1, ,2,4,1,1,5,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,14,25,1,1,2,1,3,1,2,2,2,2,2,1,1,2,1,0,1,0,0,0,0,0,3,2,1,1,1,2,1,4,1,1,2, , , , , ,2,1,1,2,2,2,7,7,7,3, , , , ,1,1,2,3,2,2,2,0.52504803,1.25501379,0.73673165
2015010015,17,4,2,1,3,3,2,6,2,1,3,6,2,3, , , ,1, ,1, ,1, , , ,8,6,3,1,98, ,99, ,1,3,1,1,5,7,7,1,1,2,3,3,1, ,1,2,1,2,2,2,2,2,2,2,1,1,2,1,8,6,1,2,2,1,5,2,1,1,1,2,2,1,2,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,4,1,2,2,2,7,7,7,3, , , , ,1,1,1,1,4,2,1,0.69365231,0.91396968,1.26783723
2015010016,5,9,4,1,2,2,1,7,1,2,1,1,5,1, , ,1,2,1,2,2,1, , ,3,9,8,3,1,1,1,1, ,1,1,2,1,5,6,5,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,12,20,1,1,1,3,3,1,2,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,3,1,1,1,4,1,1,4,3,2,4,1,0,1,0,0,1,6,1,2,1,1,7,6,7,1, , , , ,1,2,2,2,3,1,1,0.73648700,1.84339373,0.75750119
2015010017,7,1,1,1,3,3,1,5,2,3,3,6,1,3, , , ,1, ,5, ,1, ,1, ,1,98,98,3,2, ,2, ,2,4,98,98,5,7,4,1,2,2,3,3,2, , ,2, , , ,2,2,2,2,2,2,2,2,98, , , , , , ,2,2,1,2,2,2,2,98,2,98,1,0,0,0,0,0,0,0,1,98,2,3,1,1,2,1,1,1,1, , , , , ,2,7,1,2,2,2,4,6,4,98, , , , ,1,1,3,98,2,1,2,0.52617324,1.55223802,0.96424575
2015010018,5,9,4,2,4,10,1,6,1,2,1,1,6,3, , ,3,1, ,3,2,1, , ,3,5,1,3,3,1,2,1, ,2,1,5,1,5,7,7,1,1,2,3,3,1,2,1,1,1,2,2,2,1,2,2,2,2,2,2,1,1, ,2,2, , ,2,1,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,1,1,2,2,2,7,3,5,3, , , , ,1,2,98,98,98,98,98,0.57770169,1.60583969,0.74074148
2015010019,44,7,3,2,3,9,2,4,2,1,3,1,4,3, , , ,1, ,2, ,1,2, , ,4,6,3,3,1,2,2, ,2,1,98,1,3,7,4,1,1,2,3,3,1, ,1,2,1,2,2,2,1,2,2,2,2,2,2,2, , , , , , ,7, , , , , , , ,1,2,1,0,0,0,0,0,0,0,1,2,1,1,2,1,98,1,1,1,1, , , , , ,2,7,1,1,1,1,7,3,5,3, , , , ,1,98,3,98,98,1,98,0.84606674,2.09619562,1.14594065
2015010020,39,2,1,1,5,5,2,5,2,1,3,6,5,2,4,1, ,1, ,8, ,2,2, , ,6,1,1,3,1, , ,2,2,1,1,1,3,1,1,1,1,2,3,3,2, , ,2, , , ,2,2,2,2,1,2,2,2,1,2,75,1,2,2,1,7, , , , , , , ,2,1,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,1,7,1,2,2,2,7,7,7,2,1,2,2,2,2,1,2,2,2,1,98,4.30625782,1.21386562,0.85664734
