respondent_id,rok_ankiety,stan,plec,grupa_wiekowa,plec_wiek,edukacja,stan_cywilny,syt_mieszkaniowa,dochod_roczny,status_zatrudnienia,liczba_dzieci,trudnosc_z_rachunkami,sklonnosc_do_ryzyka,ma_fund_awaryjny,liczyl_oszcz_emerytalne,pytal_o_porade_inwest,ma_konto_oszczednosciowe,inwestuje_poza_emerytura
2009017348,2009,New York,Female,18-24,Female 18-24,Some college,Single,Live in parents' home,"< $15,000",Student,0,Somewhat difficult,,False,False,False,True,False
2009017349,2009,Nebraska,Female,25-34,Female 25-34,College graduate,Married,Live with spouse/partner,$50k - $75k,Part-time,3+,Very difficult,3.0,False,False,False,True,False
2009017350,2009,West Virginia,Male,35-44,Male 35-44,College graduate,Single,Live with other family/friends,$15k - $25k,Unemployed,0,Somewhat difficult,1.0,False,False,False,False,False
2009017351,2009,Nebraska,Female,35-44,Female 35-44,Some college,Married,Live with spouse/partner,$15k - $25k,Full-time,2,Somewhat difficult,5.0,False,False,False,False,False
2009017352,2009,Nebraska,Male,35-44,Male 35-44,Some college,Married,Live with spouse/partner,$25k - $35k,Unemployed,0,Somewhat difficult,7.0,True,False,False,True,False
2009017353,2009,West Virginia,Female,35-44,Female 35-44,Some college,Married,Live with spouse/partner,$50k - $75k,Homemaker,2,Not at all difficult,5.0,False,False,False,True,False
2009017354,2009,Mississippi,Female,25-34,Female 25-34,Some college,Married,Live with spouse/partner,$25k - $35k,Full-time,2,Somewhat difficult,4.0,False,False,False,True,False
2009017355,2009,Nebraska,Male,35-44,Male 35-44,Post graduate education,Married,Live with spouse/partner,$100k - $150k,Full-time,2,Somewhat difficult,6.0,True,True,True,True,True
2009017356,2009,New Jersey,Male,25-34,Male 25-34,Some college,Separated,Live with spouse/partner,"< $15,000",Unemployed,3+,Somewhat difficult,5.0,False,False,False,False,
2009017357,2009,Maine,Female,18-24,Female 18-24,Some college,Single,Live with spouse/partner,$35k - $50k,Full-time,0,Somewhat difficult,2.0,False,False,False,True,False
2009017358,2009,Mississippi,Male,35-44,Male 35-44,High school graduate,Married,Live with spouse/partner,$50k - $75k,Full-time,1,Somewhat difficult,2.0,False,False,False,True,False
2009017359,2009,New Mexico,Female,25-34,Female 25-34,College graduate,Single,Live in parents' home,$15k - $25k,Full-time,0,Not at all difficult,3.0,True,False,True,True,True
